NormFwd_Packet_Length_Std,NormBwd_IAT_Total,NormPacket_Length_Mean,Label
0.000000,0.000000,1.291111,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000152,0.982667,dns
0.000000,0.000000,0.822222,dns
0.000000,0.000000,0.683333,dns
0.000000,0.000000,0.665000,dns
0.000000,0.000003,1.106667,dns
0.000000,0.000000,0.893333,dns
0.000000,0.000000,1.020000,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000000,1.291111,dns
0.000000,0.000000,1.291111,dns
0.000000,0.000021,0.982667,dns
0.000000,0.000000,0.900000,dns
0.000000,0.000000,0.835000,dns
0.000000,0.000000,0.960000,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000000,0.240000,dns
0.000000,0.000010,0.982667,dns
0.000000,0.000000,0.886667,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000000,0.120000,dns
0.000000,0.000000,0.773333,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000000,0.915556,dns
0.000000,0.000000,1.222222,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000021,0.982667,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000000,0.886667,dns
0.000000,0.000000,0.835556,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000017,0.982667,dns
0.000000,0.000000,0.393333,dns
0.000000,0.000000,0.393333,dns
0.000000,0.000000,0.808333,dns
0.000000,0.000000,0.893333,dns
0.000000,0.000000,1.291111,dns
0.000000,0.000000,1.291111,dns
0.000000,0.000000,0.895556,dns
0.000000,0.000020,0.982667,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000000,1.291111,dns
0.000000,0.000000,0.806667,dns
0.000000,0.000000,0.886667,dns
0.000000,0.000001,0.890667,dns
0.000000,0.000000,0.851111,dns
0.000000,0.000000,0.833333,dns
0.000000,0.000000,1.022222,dns
0.000000,0.000000,0.960000,dns
0.000000,0.000000,0.393333,dns
0.000000,0.000000,1.291111,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000000,0.346667,dns
0.000000,0.000000,0.926667,dns
0.000000,0.000019,0.982667,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000000,0.733333,dns
0.000000,0.000000,1.291111,dns
0.000000,0.000001,0.982667,dns
0.000000,0.000000,0.960000,dns
0.000000,0.000000,0.980000,dns
0.000000,0.000000,1.291111,dns
0.000000,0.000014,0.982667,dns
0.000000,0.000000,0.302222,dns
0.000000,0.000000,0.902222,dns
0.000000,0.000000,1.255556,dns
0.000000,0.000000,0.640000,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000217,0.982667,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000000,0.890000,dns
0.000000,0.000019,0.982667,dns
0.000000,0.004191,1.045000,dns
0.000000,0.000000,0.890667,dns
0.000000,0.000000,0.866667,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000000,0.982667,dns
0.000000,0.000000,0.890667,dns
0.000000,0.000000,0.972000,dns
