NormFwd_Packet_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_Packet_Length_Mean,NormBwd_Packet_Length_Std,NormFlow_IAT_Mean,NormFlow_IAT_Std,NormFwd_IAT_Mean,NormFwd_IAT_Std,NormBwd_IAT_Mean,NormPacket_Length_Mean,NormPacket_Length_Std,Label
0.292208,0.000000,3.828631,0.000000,0.189171,0.000000,0.000000,0.000000,0.000000,1.501100,4.839820,dns
0.373377,0.000000,2.252800,3.363707,0.000060,0.000282,0.027978,0.000000,0.049065,1.142490,2.920411,dns
0.373377,0.000000,2.252800,3.363707,0.040486,0.272874,0.023315,0.000000,10.000000,1.142490,2.920411,dns
0.267857,0.000000,2.286648,0.000000,0.343705,0.000000,0.000000,0.000000,0.000000,0.955950,2.772920,dns
0.324675,0.000000,2.181342,0.000000,9.827558,0.037688,10.000000,0.000000,0.000000,0.794472,2.215332,dns
0.259740,0.000000,2.279126,0.000000,10.000000,0.046995,10.000000,0.000000,0.000000,0.773157,2.401419,dns
0.275974,0.000000,2.737960,0.000000,0.006543,0.035700,10.000000,0.000000,10.000000,1.286657,3.203342,dns
0.422078,0.000000,2.241517,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,1.038627,2.517116,dns
0.235390,0.000000,3.016269,0.000000,0.229803,0.000000,0.000000,0.000000,0.000000,1.185895,3.806370,dns
0.373377,0.000000,2.252800,3.363707,0.000077,0.000355,0.034639,0.000000,0.071963,1.142490,2.920411,dns
0.373377,0.000000,2.252800,3.363707,0.043962,0.000130,0.033973,0.000000,0.081776,1.142490,2.920411,dns
0.292208,0.000000,3.828631,0.000000,0.215149,0.000000,0.000000,0.000000,0.000000,1.501100,4.839820,dns
0.292208,0.000000,3.828631,0.000000,0.000286,0.000000,0.000000,0.000000,0.000000,1.501100,4.839820,dns
0.373377,0.000000,2.252800,3.363707,0.005598,0.037081,0.021982,0.000000,10.000000,1.142490,2.920411,dns
0.284091,0.000000,2.519826,0.000000,0.145875,0.000000,0.000000,0.000000,0.000000,1.046378,3.069653,dns
0.397727,0.000000,2.662741,0.000000,10.000000,0.104582,10.000000,0.000000,0.000000,0.970806,2.702704,dns
0.275974,0.000000,2.324257,0.160815,0.000067,0.000272,0.037970,0.000000,0.081776,1.116136,2.670510,dns
0.373377,0.000000,2.252800,3.363707,0.000063,0.000246,0.000033,0.000000,0.000098,1.142490,2.920411,dns
0.373377,0.000000,2.252800,3.363707,0.000066,0.000305,0.032641,0.000000,0.052336,1.142490,2.920411,dns
0.292208,0.000000,0.000000,0.000000,10.000000,0.000268,10.000000,0.000234,0.000000,0.279034,0.000000,dns
0.373377,0.000000,2.252800,3.363707,2.688357,0.017491,0.028644,0.000000,10.000000,1.142490,2.920411,dns
0.300325,0.000000,2.444607,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,1.030876,2.946867,dns
0.373377,0.000000,2.252800,3.363707,0.000058,0.000308,0.018652,0.000000,0.000033,1.142490,2.920411,dns
0.373377,0.000000,2.252800,3.363707,0.000060,0.000279,0.025979,0.000000,0.055608,1.142490,2.920411,dns
0.146104,0.000000,0.000000,0.000000,3.347808,0.497891,3.348003,0.435175,0.000000,0.139517,0.000000,dns
0.227273,0.000000,2.196386,0.000000,0.187173,0.000000,0.000000,0.000000,0.000000,0.899110,2.701295,dns
0.373377,0.000000,2.252800,3.363707,0.000071,0.000274,0.000007,0.000000,0.000294,1.142490,2.920411,dns
0.381494,0.000000,2.391954,0.000000,1.320865,0.000000,0.000000,0.000000,0.000000,1.064463,2.772920,dns
