NormFwd_Packet_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_Packet_Length_Mean,NormBwd_Packet_Length_Std,NormFlow_IAT_Mean,NormFlow_IAT_Std,NormFwd_IAT_Mean,NormFwd_IAT_Std,NormBwd_IAT_Mean,NormPacket_Length_Mean,NormPacket_Length_Std,Label
1.013656,5.899196,9.745403,3.995525,0.004007,0.000336,0.022037,0.000687,0.024050,8.391983,8.974153,live
1.457949,7.322009,10.000000,1.277634,0.005899,0.000994,0.533324,0.008104,0.029273,10.000000,2.543794,live
1.057876,6.166924,10.000000,1.629787,0.011181,0.001581,0.431499,0.008506,0.056338,10.000000,3.807146,live
1.428227,7.136794,9.480895,5.289627,0.004600,0.000185,0.022396,0.000351,0.028427,8.042991,9.386478,live
0.715892,4.577576,9.770413,3.842650,0.010233,0.000566,0.040481,0.000978,0.067252,7.695171,10.000000,live
0.414267,2.625182,10.000000,1.584538,0.004259,0.000397,0.020562,0.000763,0.026368,8.261037,9.348998,live
0.756799,4.775024,9.731337,4.089034,0.011061,0.000584,0.044650,0.001019,0.072200,7.722107,9.994464,live
0.641754,4.230168,9.864991,3.162205,0.016564,0.000885,0.065829,0.001530,0.108693,7.761106,10.000000,live
1.188074,6.503378,9.583999,4.760424,0.004977,0.000233,0.025682,0.000456,0.030314,8.181718,9.217045,live
0.600176,3.885471,10.000000,1.386339,0.006808,0.001248,0.089024,0.003937,0.036117,9.579396,6.136788,live
1.738209,7.896272,9.449159,4.902847,0.010322,0.000679,0.136067,0.002129,0.054843,9.123887,6.865152,live
0.845326,5.512633,10.000000,1.613135,0.001575,0.000352,0.052094,0.001771,0.007955,10.000000,4.106207,live
0.650043,4.204650,7.367812,9.563035,0.010079,0.000226,0.025955,0.000328,0.080880,4.886117,10.000000,live
1.127952,6.348735,9.591958,5.022837,0.016195,0.000720,0.063597,0.001282,0.106641,7.641899,10.000000,live
0.719730,4.592243,9.756598,3.942904,0.010431,0.000568,0.041616,0.000985,0.068350,7.705828,10.000000,live
0.742820,4.716056,9.832917,3.505219,0.010587,0.000699,0.043475,0.001236,0.068724,7.837309,9.898969,live
1.042330,5.983866,9.753630,3.862142,0.006237,0.000405,0.036392,0.000849,0.036963,8.498461,8.752577,live
0.571178,3.754960,9.901776,2.934038,0.006268,0.000438,0.026257,0.000811,0.040412,7.897501,9.851681,live
0.567874,3.885276,6.780935,8.669572,0.003174,0.000033,0.008693,0.000049,0.024550,4.634491,9.822601,live
1.444805,7.243669,10.000000,1.360358,0.008053,0.001386,0.631955,0.010547,0.040039,10.000000,2.723461,live
1.050903,6.134666,10.000000,1.597610,0.008357,0.001253,0.346701,0.007000,0.041982,10.000000,3.689603,live
0.592339,3.921971,9.886013,3.009793,0.005722,0.000463,0.027433,0.000884,0.035505,8.179945,9.420193,live
0.706150,4.538222,9.832204,3.523988,0.010065,0.000684,0.039841,0.001188,0.065926,7.741997,10.000000,live
1.119662,6.311629,9.592128,5.028766,0.015396,0.000682,0.062378,0.001236,0.100327,7.708967,10.000000,live
1.508296,7.360043,9.483737,4.728930,0.009170,0.000643,0.114756,0.001970,0.048941,9.106313,6.939528,live
0.621120,4.054448,9.861256,3.202420,0.007162,0.000526,0.031661,0.000963,0.045452,7.996426,9.680973,live
0.716102,4.580021,9.780516,3.814116,0.008960,0.000571,0.036197,0.000999,0.058467,7.752503,9.984130,live
1.775273,7.967427,9.465117,4.860251,0.010411,0.000683,0.140562,0.002166,0.055214,9.156144,6.795732,live
1.157657,6.375995,9.667163,4.352115,0.003502,0.000172,0.018866,0.000346,0.021114,8.317649,9.028442,live
1.299487,7.192780,10.000000,1.413202,0.002381,0.000472,0.119238,0.002903,0.011909,10.000000,3.323779,live
0.720344,4.623041,9.809652,3.661974,0.009916,0.000667,0.040769,0.001177,0.064339,7.816851,9.921842,live
0.739875,4.718390,9.797077,3.739470,0.010574,0.000689,0.042442,0.001200,0.069157,7.755688,9.992470,live
1.629448,7.647943,9.458021,4.841711,0.010121,0.000683,0.129563,0.002113,0.053906,9.105979,6.914973,live
1.007893,5.886466,9.783783,3.758128,0.003750,0.000267,0.022395,0.000568,0.022119,8.554541,8.691581,live
1.100774,6.213033,9.691201,4.204973,0.007411,0.000301,0.037687,0.000582,0.045301,8.228912,9.189406,live
1.477746,7.267915,9.477682,4.724194,0.009152,0.000638,0.112799,0.001942,0.048909,9.087703,6.971371,live
0.589735,3.867244,9.897454,2.967272,0.006719,0.000464,0.028877,0.000868,0.042976,7.957631,9.764109,live
0.631879,4.341677,10.000000,1.611027,0.008780,0.001382,0.154916,0.005063,0.045668,9.763998,5.418800,live
0.708454,4.591474,9.760573,3.844909,0.021953,0.000843,0.077765,0.001370,0.150214,7.408772,10.000000,live
0.758801,4.799309,9.853116,3.349581,0.010452,0.000714,0.046847,0.001319,0.066065,8.049173,9.607588,live
0.759010,4.970866,10.000000,1.414688,0.005629,0.001110,0.139943,0.004822,0.028791,9.940099,4.594938,live
1.084625,6.189548,9.568954,5.153869,0.015970,0.000698,0.059652,0.001215,0.107037,7.498359,10.000000,live
0.889497,5.348536,10.000000,1.465518,0.009584,0.001508,0.259662,0.006822,0.048851,9.972282,4.402552,live
1.231376,6.678621,9.560466,5.175946,0.017447,0.000741,0.073490,0.001365,0.112288,7.792206,9.877951,live
0.732767,4.662523,9.769756,3.844039,0.010159,0.000553,0.042212,0.000978,0.065701,7.812289,9.892020,live
0.809355,5.074767,9.882714,2.959602,0.003103,0.000316,0.018965,0.000682,0.018218,8.643745,8.552593,live
0.855270,5.256944,9.893445,2.906494,0.004931,0.000491,0.033532,0.001114,0.028391,8.815376,8.199731,live
1.084982,6.217494,10.000000,1.494150,0.004531,0.000814,0.191631,0.004596,0.022770,10.000000,3.612856,live
0.691413,4.489199,9.835666,3.337637,0.017165,0.000863,0.076571,0.001578,0.108643,8.010543,9.634340,live
0.738162,4.708952,9.765859,3.956495,0.011103,0.000700,0.042436,0.001191,0.073845,7.614181,10.000000,live
0.436887,2.742322,9.990807,1.913995,0.005589,0.000455,0.022229,0.000802,0.036138,7.811278,9.996463,live
1.011192,5.868179,9.703095,4.131786,0.006564,0.000366,0.035266,0.000735,0.039611,8.316858,9.050590,live
1.363103,7.070664,9.540014,5.294651,0.018079,0.000792,0.081228,0.001505,0.114138,7.932516,9.682847,live
0.457422,2.841432,9.978864,2.065138,0.007285,0.000551,0.028640,0.000955,0.047955,7.777831,10.000000,live
0.522778,3.627885,10.000000,1.718945,0.011114,0.001560,0.124210,0.004568,0.059865,9.430092,6.658794,live
0.982250,5.897247,10.000000,1.650664,0.003203,0.000867,0.090587,0.004026,0.016292,9.980557,4.359477,live
0.718360,4.600441,9.784955,3.723258,0.010085,0.000550,0.041286,0.000967,0.064667,7.787037,9.926500,live
0.569335,3.705623,9.901394,2.934032,0.006309,0.000419,0.025757,0.000766,0.041010,7.837713,9.928339,live
1.153025,6.431456,9.568298,5.133293,0.016601,0.000718,0.063749,0.001266,0.110161,7.579383,10.000000,live
1.470207,7.254790,9.541944,5.061928,0.005164,0.000258,0.027951,0.000520,0.031105,8.275192,9.055017,live
0.730226,4.696455,9.848178,3.178181,0.003728,0.000237,0.020636,0.000483,0.022343,8.440601,8.919111,live
0.735182,4.694566,9.796843,3.761765,0.010394,0.000681,0.041924,0.001191,0.067866,7.765944,9.985021,live
0.745054,4.724883,9.774046,3.828894,0.009176,0.000579,0.038640,0.001033,0.059084,7.848555,9.847420,live
0.747302,4.937683,10.000000,1.418218,0.010724,0.001629,0.227646,0.006523,0.055252,9.872570,4.932271,live
0.862725,5.271702,9.740320,4.142346,0.012988,0.000803,0.056726,0.001458,0.082719,7.927032,9.747584,live
0.398730,2.384560,10.000000,1.579613,0.004054,0.000390,0.016760,0.000693,0.026247,7.912635,9.869982,live
0.957614,5.687835,9.775392,3.823687,0.003498,0.000308,0.020054,0.000642,0.020806,8.475531,8.844403,live
0.654603,4.388072,9.827168,3.397838,0.018492,0.000886,0.071332,0.001508,0.122586,7.662836,10.000000,live
0.944041,5.648158,9.771080,3.801626,0.003076,0.000222,0.016688,0.000450,0.018517,8.378816,9.004121,live
0.727883,4.645729,9.759886,3.895780,0.010681,0.000578,0.042622,0.001002,0.069984,7.710650,10.000000,live
0.525254,3.614102,10.000000,1.603983,0.008193,0.001276,0.092272,0.003753,0.044080,9.443861,6.616564,live
1.445186,7.176548,9.481607,5.303692,0.004569,0.000213,0.022467,0.000408,0.028168,8.063714,9.360164,live
0.674502,4.404688,9.806201,3.459595,0.017760,0.000853,0.071450,0.001481,0.116066,7.752542,9.957183,live
0.742251,4.731363,9.806575,3.671943,0.010879,0.000725,0.044252,0.001272,0.070836,7.794718,9.944413,live
0.596567,3.839782,9.895005,2.997576,0.006580,0.000450,0.027933,0.000839,0.042249,7.928235,9.800231,live
0.696562,4.531140,9.851644,3.265070,0.018529,0.000942,0.076191,0.001656,0.120230,7.843912,9.882577,live
0.895399,5.412730,9.790933,3.805513,0.012180,0.000750,0.058775,0.001432,0.075443,8.175040,9.388738,live
0.716213,4.587138,9.819002,3.615322,0.009874,0.000665,0.040482,0.001176,0.064128,7.816645,9.928244,live
0.763340,4.832505,9.807660,3.669346,0.010272,0.000676,0.044686,0.001227,0.065495,7.950388,9.734500,live
1.604349,7.586842,9.472891,4.760700,0.009288,0.000646,0.123520,0.002037,0.049315,9.142177,6.813687,live
0.653042,4.284811,9.839824,3.294193,0.016700,0.000836,0.067331,0.001455,0.109060,7.778594,9.954673,live
1.104221,6.351826,9.517337,5.248152,0.016213,0.000691,0.060550,0.001160,0.108727,7.463217,10.000000,live
0.591555,4.062017,10.000000,1.779535,0.009589,0.001363,0.123659,0.004282,0.050985,9.549208,6.253794,live
0.642261,4.232726,9.856732,3.177591,0.016681,0.000879,0.065544,0.001511,0.109882,7.727397,10.000000,live
0.726283,4.675840,9.763507,3.816786,0.022380,0.000946,0.080395,0.001550,0.152299,7.452390,10.000000,live
0.748619,4.788841,9.870504,3.141060,0.021939,0.001370,0.109884,0.002660,0.134616,8.282208,9.235773,live
0.699221,4.515102,9.851151,3.295201,0.007361,0.000536,0.037443,0.001052,0.044987,8.286628,9.225353,live
1.723789,7.855796,9.517414,4.595862,0.008988,0.000641,0.136463,0.002157,0.047247,9.269394,6.476196,live
0.643849,4.235525,9.842185,3.274305,0.017029,0.000845,0.066041,0.001442,0.112676,7.684682,10.000000,live
