NormFwd_Packet_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_Packet_Length_Mean,NormBwd_Packet_Length_Std,NormFlow_IAT_Mean,NormFlow_IAT_Std,NormFwd_IAT_Mean,NormFwd_IAT_Std,NormBwd_IAT_Mean,NormPacket_Length_Mean,NormPacket_Length_Std,Label
10.000000,3.721915,0.648666,4.236854,0.021018,0.000980,0.028241,0.000995,0.403682,7.703536,10.000000,live
6.940053,9.757338,0.526764,3.456296,0.003145,0.000034,0.005096,0.000041,0.040326,4.297206,9.835818,live
4.577058,10.000000,1.902187,8.409384,0.010810,0.000174,0.016793,0.000199,0.149025,3.511854,10.000000,live
8.850166,8.721661,0.645642,4.217765,0.002187,0.000029,0.003117,0.000032,0.036017,6.129139,10.000000,live
10.000000,3.527855,0.617828,4.050170,0.017563,0.000886,0.023233,0.000895,0.353481,7.825278,9.913955,live
7.065922,9.640356,0.525304,3.443067,0.003058,0.000033,0.004891,0.000040,0.040065,4.421384,9.877400,live
4.671584,10.000000,1.954754,8.532047,0.011692,0.000188,0.018729,0.000218,0.152801,3.542016,10.000000,live
8.952117,8.343014,0.650990,4.242293,0.002182,0.000029,0.003087,0.000032,0.036563,6.239562,10.000000,live
10.000000,3.612472,0.614225,3.974811,0.017399,0.000875,0.023321,0.000889,0.336528,7.723687,10.000000,live
6.872046,9.756187,0.510433,3.345307,0.003169,0.000035,0.005094,0.000042,0.041171,4.280976,9.791063,live
8.953816,8.305323,0.647700,4.228420,0.002176,0.000029,0.003084,0.000032,0.036302,6.229774,10.000000,live
10.000000,3.628195,0.636434,4.093443,0.017827,0.000891,0.023601,0.000900,0.357983,7.817457,9.919740,live
5.260826,8.650954,0.490059,3.214353,0.004267,0.000040,0.007515,0.000049,0.048484,3.070807,8.006515,live
10.000000,4.818227,1.129900,6.050361,0.017390,0.000833,0.021347,0.000808,0.460878,8.301079,9.037995,live
4.836035,10.000000,2.151059,8.920034,0.012569,0.000221,0.020080,0.000254,0.165003,3.720128,10.000000,live
8.837813,8.526114,0.671797,4.355392,0.002272,0.000029,0.003212,0.000033,0.038120,6.172265,10.000000,live
10.000000,3.507180,0.607868,3.943751,0.018031,0.000902,0.024079,0.000914,0.352613,7.758345,9.998868,live
5.382641,8.947795,0.476692,3.119360,0.004045,0.000039,0.007175,0.000049,0.045546,3.112403,8.223070,live
0.651719,4.187218,7.943683,8.428512,0.002509,0.000032,0.007919,0.000051,0.018034,5.789579,10.000000,live
1.548381,7.694711,9.993623,1.899232,0.008376,0.001139,0.265533,0.005540,0.042471,10.000000,4.123989,live
1.146906,6.132917,9.665397,4.389675,0.010780,0.000506,0.056833,0.001001,0.065337,8.277804,9.084092,live
10.000000,3.420800,0.583805,3.803360,0.016425,0.000857,0.022038,0.000870,0.316750,7.725773,10.000000,live
5.539369,9.107856,0.469085,3.068357,0.003915,0.000038,0.006966,0.000047,0.043891,3.184500,8.404629,live
1.155771,6.160760,9.662455,4.399422,0.010765,0.000508,0.056774,0.001006,0.065241,8.277501,9.080369,live
1.382402,7.257316,9.998396,1.807747,0.008063,0.001331,0.249011,0.006423,0.040925,10.000000,4.171916,live
8.514012,8.812960,0.611367,4.047148,0.002591,0.000033,0.003820,0.000037,0.039579,5.718599,10.000000,live
10.000000,3.422269,0.622054,4.021689,0.016285,0.000850,0.021208,0.000851,0.344502,7.952351,9.746673,live
5.635504,9.178427,0.493090,3.240268,0.004328,0.000123,0.007499,0.000153,0.050273,3.320850,8.549322,live
0.710841,4.507990,7.885271,8.463195,0.002852,0.000085,0.009060,0.000151,0.020441,5.780929,10.000000,live
1.185006,6.252145,9.674365,4.302658,0.010926,0.000529,0.059988,0.001078,0.065608,8.358895,8.931583,live
10.000000,3.345127,0.565128,3.707009,0.016015,0.000846,0.021787,0.000866,0.297019,7.630229,10.000000,live
5.613694,9.048329,0.470283,3.077940,0.003924,0.000039,0.006972,0.000048,0.044088,3.229477,8.431266,live
1.152086,6.152092,9.650356,4.429033,0.010656,0.000492,0.055802,0.000970,0.064678,8.254935,9.102212,live
1.199039,6.649106,10.000000,1.684268,0.001940,0.000448,0.062482,0.002220,0.009827,10.000000,4.096959,live
8.360732,8.930021,0.617008,4.075431,0.002735,0.000034,0.004109,0.000039,0.040180,5.527521,10.000000,live
10.000000,3.657847,0.622782,4.025707,0.018702,0.000909,0.025371,0.000928,0.349501,7.636930,10.000000,live
5.807465,9.048462,0.470747,3.079102,0.003860,0.000044,0.006768,0.000054,0.044128,3.371797,8.587441,live
1.137475,6.102075,9.665583,4.352397,0.010693,0.000499,0.056232,0.000988,0.064842,8.272100,9.082363,live
8.460669,8.813281,0.628759,4.143268,0.002720,0.000038,0.004026,0.000042,0.041173,5.668357,10.000000,live
10.000000,3.608058,0.630484,4.068228,0.019440,0.000951,0.026150,0.000967,0.372206,7.702085,10.000000,live
6.354914,9.496452,0.473290,3.093551,0.003683,0.000038,0.006204,0.000046,0.044512,3.800871,9.247818,live
1.117319,6.038864,9.666878,4.366940,0.010600,0.000518,0.054839,0.001017,0.064531,8.241568,9.143163,live
1.145186,6.496649,10.000000,1.499945,0.005170,0.000984,0.165024,0.004838,0.026211,10.000000,4.065490,live
8.403105,8.930495,0.609854,4.036960,0.002682,0.000031,0.004032,0.000036,0.039368,5.549507,10.000000,live
10.000000,3.403367,0.598611,3.897002,0.018213,0.000923,0.024523,0.000939,0.347677,7.703667,10.000000,live
1.151062,6.146116,9.680832,4.301899,0.010752,0.000513,0.057487,0.001024,0.064948,8.314929,9.025446,live
0.513030,3.255422,4.982373,8.607012,0.004032,0.000039,0.009201,0.000051,0.035241,3.098817,8.238210,live
8.207806,9.161872,0.625030,4.120969,0.002828,0.000034,0.004278,0.000038,0.040965,5.399229,10.000000,live
10.000000,3.675961,0.641284,4.119412,0.018940,0.000906,0.024972,0.000914,0.384901,7.840632,9.885682,live
1.206529,6.324756,9.695291,4.242963,0.010945,0.000518,0.061744,0.001063,0.065334,8.423342,8.843155,live
1.173217,6.619924,9.993200,1.882972,0.008043,0.001444,0.193750,0.006173,0.041205,9.915170,4.691642,live
0.535589,3.408284,5.966116,8.966525,0.003746,0.000041,0.009890,0.000065,0.029613,4.012648,9.288562,live
8.551886,8.950349,0.722595,4.633312,0.003183,0.000148,0.004545,0.000155,0.052139,5.941678,10.000000,live
1.377743,6.918460,9.524554,5.164994,0.004516,0.000289,0.025583,0.000597,0.026933,8.313809,8.993551,live
1.271674,6.518095,9.709636,4.198258,0.011745,0.000585,0.070167,0.001232,0.069272,8.533281,8.651488,live
0.772984,4.708749,9.890202,2.984594,0.021332,0.001082,0.106620,0.002091,0.130958,8.299098,9.196793,live
0.564401,3.589616,5.199946,8.758968,0.004158,0.000040,0.010600,0.000059,0.033600,3.467503,8.588483,live
1.331117,6.774663,9.708505,4.339375,0.004172,0.000242,0.022433,0.000486,0.025170,8.379742,8.978078,live
5.675668,9.326869,0.477740,3.132722,0.004010,0.000040,0.007073,0.000049,0.045477,3.286192,8.622694,live
1.092932,5.973053,9.714197,4.143838,0.010054,0.000525,0.053212,0.001043,0.060877,8.315491,9.055112,live
0.664219,4.181566,9.874352,3.137462,0.019492,0.000976,0.075268,0.001663,0.129169,7.703540,10.000000,live
6.371017,9.477878,0.470248,3.075345,0.003633,0.000038,0.006130,0.000046,0.043809,3.803177,9.248816,live
1.417242,7.287046,10.000000,1.690862,0.006426,0.000984,0.228145,0.005075,0.032473,10.000000,3.891661,live
0.659358,4.153219,9.881379,3.076127,0.019652,0.000986,0.074993,0.001670,0.130783,7.678291,10.000000,live
1.345619,6.818019,9.710066,4.321211,0.004241,0.000250,0.022671,0.000501,0.025618,8.374223,8.983529,live
1.066575,5.881540,9.735114,4.045387,0.009861,0.000509,0.051632,0.001005,0.059864,8.309668,9.083052,live
1.383648,6.920359,9.688204,4.455184,0.004407,0.000248,0.023505,0.000495,0.026638,8.358768,9.003185,live
1.101174,5.993847,9.735310,4.070245,0.009857,0.000595,0.053643,0.001203,0.059306,8.381216,8.964236,live
0.607818,3.867698,9.898363,2.945725,0.016580,0.000896,0.064092,0.001529,0.109837,7.710677,10.000000,live
0.509225,3.226948,5.179745,8.830499,0.003910,0.000038,0.008969,0.000048,0.034042,3.222330,8.505712,live
5.485578,9.727029,0.556444,3.649610,0.005061,0.000046,0.008828,0.000053,0.058242,3.247900,8.729551,live
10.000000,5.531898,1.344262,6.530790,0.014101,0.000718,0.017162,0.000692,0.388423,8.313201,9.013423,live
6.970723,9.739132,0.639489,4.108683,0.001521,0.000030,0.002287,0.000033,0.022304,4.648102,9.864626,live
0.703173,4.378494,6.220838,9.380931,0.001546,0.000014,0.004358,0.000025,0.011761,4.374898,9.721717,live
0.519889,3.316131,5.440731,8.938441,0.003539,0.000039,0.009001,0.000054,0.028643,3.596921,8.855771,live
5.429441,9.384201,0.530767,3.481183,0.005163,0.000046,0.009213,0.000054,0.057690,3.146395,8.476639,live
6.821214,9.803531,0.643087,4.136797,0.001560,0.000015,0.002407,0.000017,0.021762,4.454593,9.794277,live
10.000000,5.149968,1.238677,6.246298,0.012812,0.000676,0.015566,0.000651,0.355724,8.365299,8.944196,live
0.511715,3.251069,4.640207,8.369963,0.003869,0.000033,0.009103,0.000044,0.033042,2.956817,7.897001,live
7.202288,9.707864,0.627526,4.047389,0.005668,0.000335,0.008771,0.000366,0.078679,4.673518,10.000000,live
6.515305,9.803672,0.682269,4.344308,0.002188,0.000153,0.003364,0.000166,0.030708,4.290936,9.591115,live
10.000000,4.768407,1.270854,6.367927,0.012637,0.000757,0.015097,0.000724,0.381222,8.552604,8.624187,live
1.100962,6.136017,6.396468,9.677473,0.002933,0.000148,0.009044,0.000293,0.021315,4.795527,10.000000,live
5.412984,8.983960,0.491417,3.225792,0.005349,0.000423,0.009016,0.000485,0.064570,3.272560,8.333123,live
10.000000,5.342354,1.141622,5.983381,0.011763,0.000658,0.014620,0.000641,0.295728,8.149409,9.286313,live
0.619722,3.930585,4.590269,8.550276,0.001772,0.000015,0.004164,0.000023,0.015152,2.968717,7.991839,live
5.608461,9.200645,0.455142,2.967249,0.003692,0.000030,0.006387,0.000036,0.042968,3.294154,8.535629,live
0.577285,3.666044,5.263744,9.333293,0.004915,0.000041,0.011464,0.000055,0.042260,3.334728,8.861619,live
5.622856,9.509148,0.529871,3.472869,0.005008,0.000040,0.008793,0.000046,0.057137,3.293301,8.693064,live
5.372088,9.194057,0.462687,3.026939,0.003635,0.000030,0.006260,0.000035,0.042562,3.178674,8.378438,live
10.000000,5.285307,1.146172,5.990171,0.011920,0.000665,0.014587,0.000644,0.320319,8.274885,9.103143,live
6.673890,9.676874,0.590585,3.828377,0.001412,0.000013,0.002198,0.000014,0.019387,4.311768,9.624374,live
6.025386,9.609374,0.527356,3.455137,0.004854,0.000040,0.008383,0.000046,0.056619,3.560341,9.042931,live
10.000000,5.433438,1.165726,6.053156,0.012906,0.000700,0.016002,0.000681,0.327718,8.159837,9.272772,live
0.498746,3.164592,4.642878,8.559451,0.003735,0.000030,0.008628,0.000039,0.032339,2.919419,7.976356,live
6.401204,9.374465,0.569926,3.716182,0.001609,0.000014,0.002613,0.000017,0.020557,3.989064,9.257583,live
5.922711,9.541557,0.537473,3.519560,0.004965,0.000058,0.008617,0.000067,0.057541,3.493767,8.933035,live
10.000000,5.781360,1.245244,6.274390,0.014374,0.000726,0.017942,0.000709,0.355159,8.068316,9.381453,live
0.605123,3.830069,5.702246,8.728326,0.002106,0.000019,0.005223,0.000029,0.017332,3.739454,8.933246,live
5.319167,8.802927,0.501141,3.307468,0.002894,0.000024,0.005033,0.000028,0.033438,3.140024,8.143681,live
0.515475,3.402044,6.386062,10.000000,0.008851,0.000280,0.019767,0.000367,0.078712,3.854359,10.000000,live
6.193388,9.570932,0.528647,3.460213,0.004819,0.000039,0.008264,0.000045,0.056793,3.676670,9.151914,live
6.746018,10.000000,0.465593,3.092815,0.007772,0.000053,0.014304,0.000066,0.083598,3.719939,9.913590,live
