Fwd Packet Length Std,Bwd IAT Total,Packet Length Mean,Label
378.165274746,150541.0,1278.92224913,vod
378.165274746,150541.0,1278.92224913,vod
214.643305812,37809.0,1242.32333052,vod
214.643305812,37809.0,1242.32333052,vod
269.547150686,103846.0,1289.08604903,vod
269.547150686,103846.0,1289.08604903,vod
385.626662501,285358.0,1304.40014848,vod
385.626662501,285358.0,1304.40014848,vod
322.054923585,93534.0,1298.17459055,vod
322.054923585,93534.0,1298.17459055,vod
348.655920106,136214.0,1278.26350414,vod
348.655920106,136214.0,1278.26350414,vod
292.895831382,111138.0,1285.98183752,vod
292.895831382,111138.0,1285.98183752,vod
330.797472827,160082.0,1305.48123056,vod
330.797472827,160082.0,1305.48123056,vod
259.68415863,160796.0,1295.82860925,vod
259.68415863,160796.0,1295.82860925,vod
303.112248982,125634.0,1306.35074808,vod
303.112248982,125634.0,1306.35074808,vod
306.517810324,43448.0,1308.85633961,vod
306.517810324,43448.0,1308.85633961,vod
284.260811229,151870.0,1280.82333291,vod
284.260811229,151870.0,1280.82333291,vod
318.009524168,276037.0,1299.30657213,vod
318.009524168,276037.0,1299.30657213,vod
288.011376535,90951.0,1306.3864781,vod
288.011376535,90951.0,1306.3864781,vod
367.500005379,149879.0,1304.2949326,vod
367.500005379,149879.0,1304.2949326,vod
364.520455012,276358.0,1294.10302788,vod
364.520455012,276358.0,1294.10302788,vod
300.779716152,145904.0,1295.45131613,vod
300.779716152,145904.0,1295.45131613,vod
260.220280141,14002.0,1258.65947918,vod
260.220280141,14002.0,1258.65947918,vod
261.705705469,26104.0,1282.082119,vod
261.705705469,26104.0,1282.082119,vod
342.905314106,120361.0,1300.2999852,vod
342.905314106,120361.0,1300.2999852,vod
342.404642246,271693.0,1292.81001949,vod
342.404642246,271693.0,1292.81001949,vod
183.500004127,119947.0,1223.565644,vod
183.500004127,119947.0,1223.565644,vod
332.073377211,205402.0,1291.01169563,vod
332.073377211,205402.0,1291.01169563,vod
354.725403995,258331.0,1299.40554538,vod
354.725403995,258331.0,1299.40554538,vod
297.81066244,73193.0,1311.34229894,vod
297.81066244,73193.0,1311.34229894,vod
310.343805365,228856.0,1285.33218454,vod
310.343805365,228856.0,1285.33218454,vod
353.09783455,286678.0,1305.62029604,vod
353.09783455,286678.0,1305.62029604,vod
371.525654403,182258.0,1280.09267111,vod
371.525654403,182258.0,1280.09267111,vod
281.071080767,81204.0,1299.87097693,vod
281.071080767,81204.0,1299.87097693,vod
384.680702957,133604.0,1306.66864407,vod
384.680702957,133604.0,1306.66864407,vod
349.137169275,132917.0,1286.59058672,vod
349.137169275,132917.0,1286.59058672,vod
310.753047739,285640.0,1295.42183679,vod
310.753047739,285640.0,1295.42183679,vod
320.479050815,259086.0,1266.17941849,vod
320.479050815,259086.0,1266.17941849,vod
330.862560817,30508.0,1301.04573991,vod
330.862560817,30508.0,1301.04573991,vod
300.398224979,131499.0,1250.51566322,vod
300.398224979,131499.0,1250.51566322,vod
309.820902164,297423.0,1295.38228209,vod
309.820902164,297423.0,1295.38228209,vod
305.241353446,63570.0,1289.16760309,vod
305.241353446,63570.0,1289.16760309,vod
296.099707069,134235.0,1288.75468975,vod
296.099707069,134235.0,1288.75468975,vod
319.710627814,150366.0,1282.77226203,vod
319.710627814,150366.0,1282.77226203,vod
293.102691997,72312.0,1260.92835821,vod
293.102691997,72312.0,1260.92835821,vod
269.991975189,80711.0,1296.37555082,vod
269.991975189,80711.0,1296.37555082,vod
338.845611536,297309.0,1302.64685214,vod
338.845611536,297309.0,1302.64685214,vod
300.932730911,44690.0,1295.60443852,vod
300.932730911,44690.0,1295.60443852,vod
334.708772037,211753.0,1299.33698123,vod
334.708772037,211753.0,1299.33698123,vod
315.825306526,13149.0,1296.19991829,vod
315.825306526,13149.0,1296.19991829,vod
347.885277619,165192.0,1301.05056877,vod
347.885277619,165192.0,1301.05056877,vod
343.944512348,240369.0,1301.51599474,vod
343.944512348,240369.0,1301.51599474,vod
364.112696674,56856.0,1291.83988631,vod
364.112696674,56856.0,1291.83988631,vod
267.71224147,82302.0,1280.06149324,vod
267.71224147,82302.0,1280.06149324,vod
381.067090432,280431.0,1306.62406615,vod
381.067090432,280431.0,1306.62406615,vod
293.078293281,69858.0,1282.6608424,vod
293.078293281,69858.0,1282.6608424,vod
376.269411517,274029.0,1302.48683988,vod
376.269411517,274029.0,1302.48683988,vod
320.970521366,290368.0,1292.03616876,vod
320.970521366,290368.0,1292.03616876,vod
370.403791499,52742.0,1295.95813397,vod
370.403791499,52742.0,1295.95813397,vod
5.40760025414,20335.0,9786.12464704,vod
5.40760025414,20335.0,9786.12464704,vod
190.254205174,85818.0,1213.04864092,vod
190.254205174,85818.0,1213.04864092,vod
398.537712566,87884.0,1282.10191739,vod
398.537712566,87884.0,1282.10191739,vod
341.44178826,98444.0,1303.69683348,vod
341.44178826,98444.0,1303.69683348,vod
389.996682134,123892.0,1291.11798498,vod
389.996682134,123892.0,1291.11798498,vod
219.274708171,75072.0,1260.06449841,vod
219.274708171,75072.0,1260.06449841,vod
323.047219612,98822.0,1291.24908327,vod
323.047219612,98822.0,1291.24908327,vod
364.759003509,173985.0,1303.79833147,vod
364.759003509,173985.0,1303.79833147,vod
385.883808673,151727.0,1259.44820419,vod
385.883808673,151727.0,1259.44820419,vod
344.709012194,271413.0,1301.11175272,vod
344.709012194,271413.0,1301.11175272,vod
362.498728382,88385.0,1279.12476008,vod
362.498728382,88385.0,1279.12476008,vod
311.089400519,17044.0,1304.16175621,vod
311.089400519,17044.0,1304.16175621,vod
200.576981147,45057.0,1219.76934636,vod
200.576981147,45057.0,1219.76934636,vod
249.66566492,161316.0,1294.89187898,vod
249.66566492,161316.0,1294.89187898,vod
362.232300447,42233.0,1294.09005443,vod
362.232300447,42233.0,1294.09005443,vod
287.574294538,80872.0,1276.71609257,vod
287.574294538,80872.0,1276.71609257,vod
329.932597985,27124.0,1308.69828571,vod
329.932597985,27124.0,1308.69828571,vod
297.324606062,32159.0,1296.66988417,vod
297.324606062,32159.0,1296.66988417,vod
312.804110829,270529.0,1298.02918757,vod
312.804110829,270529.0,1298.02918757,vod
338.967008953,139802.0,1284.40256793,vod
338.967008953,139802.0,1284.40256793,vod
365.909016235,271186.0,1307.50180973,vod
365.909016235,271186.0,1307.50180973,vod
251.132898515,154814.0,1267.65894189,vod
251.132898515,154814.0,1267.65894189,vod
362.54424904,221231.0,1298.95890343,vod
362.54424904,221231.0,1298.95890343,vod
360.76457139,286745.0,1308.42844505,vod
360.76457139,286745.0,1308.42844505,vod
337.680782632,179799.0,1295.93377993,vod
337.680782632,179799.0,1295.93377993,vod
201.706268455,57764.0,1291.84288778,vod
201.706268455,57764.0,1291.84288778,vod
347.720805571,150837.0,1309.34051929,vod
347.720805571,150837.0,1309.34051929,vod
297.145814702,72742.0,1296.44530734,vod
297.145814702,72742.0,1296.44530734,vod
315.201089228,106893.0,1307.98053384,vod
315.201089228,106893.0,1307.98053384,vod
254.139464246,80033.0,1297.34171769,vod
254.139464246,80033.0,1297.34171769,vod
305.666864058,97756.0,1282.55041955,vod
305.666864058,97756.0,1282.55041955,vod
192.203711229,14803.0,1241.60090571,vod
192.203711229,14803.0,1241.60090571,vod
218.659108356,99126.0,1238.04027062,vod
218.659108356,99126.0,1238.04027062,vod
295.107060147,89647.0,1285.2277795,vod
295.107060147,89647.0,1285.2277795,vod
410.931141757,73344.0,1282.33244548,vod
410.931141757,73344.0,1282.33244548,vod
293.087155096,270606.0,1291.410247,vod
293.087155096,270606.0,1291.410247,vod
291.297198388,79898.0,1299.58963816,vod
291.297198388,79898.0,1299.58963816,vod
279.701582364,75310.0,1289.55363105,vod
279.701582364,75310.0,1289.55363105,vod
329.379781558,75731.0,1280.48035915,vod
329.379781558,75731.0,1280.48035915,vod
256.81859016,91445.0,1298.75840906,vod
256.81859016,91445.0,1298.75840906,vod
329.525561317,99979.0,1297.26563186,vod
329.525561317,99979.0,1297.26563186,vod
312.777692893,260823.0,1291.48281945,vod
312.777692893,260823.0,1291.48281945,vod
285.527431529,25690.0,1296.79360366,vod
285.527431529,25690.0,1296.79360366,vod
277.505650564,167720.0,1268.2871074,vod
277.505650564,167720.0,1268.2871074,vod
300.273442412,113203.0,1289.10821492,vod
300.273442412,113203.0,1289.10821492,vod
349.779998317,278827.0,1304.44862619,vod
349.779998317,278827.0,1304.44862619,vod
311.438316775,90247.0,1294.45175936,vod
311.438316775,90247.0,1294.45175936,vod
308.288889099,6975.0,1296.49757134,vod
308.288889099,6975.0,1296.49757134,vod
247.320955984,34659.0,1284.13592233,vod
247.320955984,34659.0,1284.13592233,vod
303.72469278,67618.0,1298.38955149,vod
303.72469278,67618.0,1298.38955149,vod
365.439723916,270469.0,1296.19583085,vod
365.439723916,270469.0,1296.19583085,vod
270.77904733,139823.0,1279.29215714,vod
270.77904733,139823.0,1279.29215714,vod
275.819939469,210050.0,1286.0002932,vod
275.819939469,210050.0,1286.0002932,vod
342.658894313,275321.0,1306.64276478,vod
342.658894313,275321.0,1306.64276478,vod
228.015290317,287012.0,1240.08300586,vod
228.015290317,287012.0,1240.08300586,vod
404.827428369,40403.0,1274.56553974,vod
404.827428369,40403.0,1274.56553974,vod
330.352238772,113054.0,1289.95460101,vod
330.352238772,113054.0,1289.95460101,vod
341.018854046,69170.0,1279.47940913,vod
341.018854046,69170.0,1279.47940913,vod
338.387576747,292045.0,1299.26286954,vod
338.387576747,292045.0,1299.26286954,vod
364.446484996,240850.0,1302.17135817,vod
364.446484996,240850.0,1302.17135817,vod
383.156797982,88988.0,1278.37756038,vod
383.156797982,88988.0,1278.37756038,vod
313.732353205,103658.0,1277.10291979,vod
313.732353205,103658.0,1277.10291979,vod
342.633620272,167436.0,1284.88283235,vod
342.633620272,167436.0,1284.88283235,vod
345.709744675,44363.0,1282.95364908,vod
345.709744675,44363.0,1282.95364908,vod
306.412981312,199915.0,1284.76240639,vod
306.412981312,199915.0,1284.76240639,vod
376.970582279,264498.0,1295.78802088,vod
376.970582279,264498.0,1295.78802088,vod
344.373714171,211085.0,1303.61349441,vod
