@RELATION <exp-07092021>
@ATTRIBUTE Flow_Duration NUMERIC
@ATTRIBUTE Total_Fwd_Packet NUMERIC
@ATTRIBUTE Total_Bwd_packets NUMERIC
@ATTRIBUTE Total_Length_of_Fwd_Packet NUMERIC
@ATTRIBUTE Total_Length_of_Bwd_Packet NUMERIC
@ATTRIBUTE Fwd_Packet_Length_Mean NUMERIC
@ATTRIBUTE Fwd_Packet_Length_Std NUMERIC
@ATTRIBUTE Bwd_Packet_Length_Mean NUMERIC
@ATTRIBUTE Bwd_Packet_Length_Std NUMERIC
@ATTRIBUTE Flow_Bytes/s NUMERIC
@ATTRIBUTE Flow_Packets/s NUMERIC
@ATTRIBUTE Flow_IAT_Mean NUMERIC
@ATTRIBUTE Flow_IAT_Std NUMERIC
@ATTRIBUTE Fwd_IAT_Total NUMERIC
@ATTRIBUTE Fwd_IAT_Mean NUMERIC
@ATTRIBUTE Fwd_IAT_Std NUMERIC
@ATTRIBUTE Bwd_IAT_Total NUMERIC
@ATTRIBUTE Bwd_IAT_Mean NUMERIC
@ATTRIBUTE Bwd_IAT_Std NUMERIC
@ATTRIBUTE Fwd_Header_Length NUMERIC
@ATTRIBUTE Bwd_Header_Length NUMERIC
@ATTRIBUTE Fwd_Packets/s NUMERIC
@ATTRIBUTE Bwd_Packets/s NUMERIC
@ATTRIBUTE Packet_Length_Mean NUMERIC
@ATTRIBUTE Packet_Length_Std NUMERIC
@ATTRIBUTE Packet_Length_Variance NUMERIC
@ATTRIBUTE Down/Up_Ratio NUMERIC
@ATTRIBUTE Average_Packet_Size NUMERIC
@ATTRIBUTE Fwd_Segment_Size_Avg NUMERIC
@ATTRIBUTE Bwd_Segment_Size_Avg NUMERIC
@ATTRIBUTE Bwd_Bytes/Bulk_Avg NUMERIC
@ATTRIBUTE Bwd_Packet/Bulk_Avg NUMERIC
@ATTRIBUTE Bwd_Bulk_Rate_Avg NUMERIC
@ATTRIBUTE Fwd_Act_Data_Pkts NUMERIC
@ATTRIBUTE Active_Mean NUMERIC
@ATTRIBUTE Active_Std NUMERIC
@ATTRIBUTE Idle_Mean NUMERIC
@ATTRIBUTE Idle_Std NUMERIC
@ATTRIBUTE class {video,http,dns,ftp,ssh}
@DATA

1110594723,1260,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1345272707549143,882.124482129,3548513.75527,1110594723.0,882.124482129,3548513.75527,0.0,0.0,0.0,0,0,1.13452727075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2961.94713333,3866315.46941,11845.86732,8818105.1574,dns
275,1,1,34.0,50.0,34.0,0.0,50.0,0.0,305454.5454545454,7272.727272727272,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,3636.36363636,3636.36363636,39.3333333333,9.23760430703,85.3333333333,1.0,59.0,34.0,50.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
21808,1,1,52.0,196.0,52.0,0.0,196.0,0.0,11371.973587674247,91.7094644167278,21.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,45.8547322084,45.8547322084,100.0,83.1384387633,6912.0,1.0,150.0,52.0,196.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
17,2,2,78.0,372.0,39.0,4.24264068712,186.0,22.627416998,2.647058823529412E7,235294.11764705883,0.00566666666667,5.03322295685,16.0,0.016,0.0,6.0,0.006,0.0,-2,-2,117647.058824,117647.058824,97.2,81.8852856135,6705.2,1.0,121.5,39.0,186.0,450,4,26470588,1,0.0,0.0,0.0,0.0,dns
10,1,1,45.0,73.0,45.0,0.0,73.0,0.0,1.1799999999999998E7,199999.99999999997,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,100000.0,100000.0,54.3333333333,16.1658075373,261.333333333,1.0,81.5,45.0,73.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
1,1,1,37.0,37.0,37.0,0.0,37.0,0.0,7.4E7,2000000.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,1000000.0,1000000.0,37.0,0.0,0.0,1.0,55.5,37.0,37.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
22685,1,1,43.0,163.0,43.0,0.0,163.0,0.0,9080.890456248622,88.16398501212255,22.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,44.0819925061,44.0819925061,83.0,69.2820323028,4800.0,1.0,124.5,43.0,163.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
0,1,1,30.0,58.0,30.0,0.0,58.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0,0.0,39.3333333333,16.1658075373,261.333333333,1.0,59.0,30.0,58.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
68444,1,1,61.0,118.0,61.0,0.0,118.0,0.0,2615.2767225761204,29.220968967330954,68.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,14.6104844837,14.6104844837,80.0,32.9089653438,1083.0,1.0,120.0,61.0,118.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
