Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
18.209.83.65-192.168.254.200-443-51559-6,18.209.83.65,443,192.168.254.200,51559,6,13/12/2021 09:23:21 PM,24918526,2,3,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,1.2440543232773882,0.20065392310925614,6229631.5,1.2459169666816391E7,2.4918386E7,1.0,6.0,6.0,0.0,6.0,6.0,2.4918519E7,1.24592595E7,1.761986567162203E7,2.4918386E7,133.0,1,0,0,0,40,60,0.08026156924370245,0.12039235386555369,0.0,31.0,10.333333333333332,16.00833116432399,256.26666666666665,1,0,1,1,5,0,0,0,1.0,12.4,15.5,0.0,0,0,0,0,0,0,2,31,3,0,114,0,0,20,140.0,0.0,140.0,140.0,2.4918386E7,0.0,2.4918386E7,2.4918386E7,NeedManualLabel
192.168.254.93-13.33.108.59-35504-443-6,192.168.254.93,35504,13.33.108.59,443,6,13/12/2021 09:22:41 PM,95459634,23,12,48.0,0.0,24.0,0.0,2.0869565217391304,6.914497572480729,0.0,0.0,0.0,0.0,0.5028303376901697,0.3666471212324154,2807636.2941176477,4535050.580119914,1.0208759E7,32.0,9.5412922E7,4336951.0,5073039.862859123,1.0246215E7,32.0,9.5421829E7,8674711.727272727,3557275.918151137,1.0259655E7,8667.0,0,0,0,0,736,384,0.24093953680987298,0.12570758442254243,0.0,24.0,1.3333333333333333,5.575456419497357,31.085714285714285,2,0,0,2,35,0,0,0,0.0,1.3714285714285714,2.0869565217391304,0.0,0,0,0,0,0,0,2,4,1,0,501,7,2,32,39999.11111111111,5316.248546777239,53942.0,37399.0,1.020001011111111E7,7738.100888532236,1.0208759E7,1.0182065E7,NeedManualLabel
192.168.254.200-200.130.99.22-51562-443-6,192.168.254.200,51562,200.130.99.22,443,6,13/12/2021 09:23:14 PM,65334015,27,44,3688.0,192783.0,3039.0,0.0,136.5925925925926,588.8364837188712,28240.0,0.0,4381.431818181819,5955.891218327066,3007.1778077621593,1.0867233553609097,933343.0714285714,2853379.306862518,1.006401E7,1.0,6.0593119E7,2330504.576923077,4304278.849970082,1.0101411E7,1.0,6.5295069E7,1518489.9767441861,3548614.681886001,1.0101163E7,1.0,0,0,0,0,612,964,0.41326099429217694,0.6734623610687328,0.0,28240.0,2728.7638888888887,5095.4064109511555,2.5963166492762133E7,1,2,0,13,70,0,0,0,1.0,2767.1971830985917,136.59259259259258,4381.431818181818,0,0,0,196434,36,669589,3,526,6,27540,64240,285,9,20,93715.0,138100.998245487,375612.0,36843.0,1.0005138166666668E7,32976.26902132277,1.006401E7,9961419.0,NeedManualLabel
192.168.254.200-200.130.99.22-51562-443-6,192.168.254.200,51562,200.130.99.22,443,6,13/12/2021 09:24:20 PM,37658,4,1,31.0,0.0,31.0,0.0,7.75,15.500000000000002,0.0,0.0,0.0,0.0,823.198258006267,132.77391258165596,9414.5,18779.028187493266,37583.0,1.0,75.0,25.0,39.84971769034255,71.0,1.0,0,0,0,0,0,0,0,0,0,80,20,106.21913006532478,26.554782516331194,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,1,0,1,1,4,0,0,0,0.0,6.2,7.75,0.0,0,0,0,0,0,0,0,0,0,0,1022,0,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.254.93-35.161.110.36-43766-443-6,192.168.254.93,43766,35.161.110.36,443,6,13/12/2021 09:22:50 PM,117067820,40,19,3572.0,5514.0,1421.0,0.0,89.30000000000001,313.7737385033346,3705.0,0.0,290.2105263157894,916.2997798481169,77.61313057678873,0.503981367381745,2018410.6896551722,3942781.320031719,1.0259556E7,31.0,1.1706782E8,3001738.974358974,4642072.215227073,1.0500398E7,31.0,1.16838315E8,6491017.5,4949443.058886492,1.0490638E7,54.0,0,0,0,0,1284,628,0.3416822829706746,0.16229908441107044,0.0,3705.0,151.43333333333328,574.8378803632941,330438.58870056475,1,3,1,12,56,0,0,0,0.0,154.0,89.3,290.2105263157895,0,0,0,8993,9,12323,3,297,1,459,64240,125,8,20,298134.8181818182,219590.0788700702,960051.0,228924.0,1.0066515363636363E7,101745.98880768995,1.0259556E7,1.0006859E7,NeedManualLabel
192.168.254.93-35.161.110.36-43766-443-6,192.168.254.93,43766,35.161.110.36,443,6,13/12/2021 09:24:47 PM,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666666.6666666666,3.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,333333.3333333333,333333.3333333333,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,125,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.254.93-35.161.110.36-43766-443-6,192.168.254.93,43766,35.161.110.36,443,6,13/12/2021 09:24:47 PM,97,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20618.556701030928,97.0,0.0,97.0,97.0,97.0,97.0,0.0,97.0,97.0,0,0,0,0,0,0,0,0,0,40,0,20618.556701030928,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.254.93-99.84.31.86-33324-443-6,192.168.254.93,33324,99.84.31.86,443,6,13/12/2021 09:22:53 PM,116303385,123,70,1502.0,137019.0,431.0,0.0,12.211382113821138,60.68141099115428,2800.0,0.0,1957.414285714286,1246.7575045514182,1191.0315422031783,1.6594529901257817,605746.7968749999,2379878.1191175655,1.0207206E7,0.0,1.16254925E8,952909.2213114754,2945183.6760403113,1.0243797E7,0.0,1.16263821E8,1684982.9130434785,3769382.583442299,1.02531E7,11.0,0,0,0,0,3952,2256,1.0575788486293842,0.6018741414963975,0.0,2800.0,714.0257731958762,1198.048613870733,1435320.4811975851,2,4,0,58,191,0,0,0,0.0,717.7253886010362,12.211382113821138,1957.4142857142858,0,0,0,138459,58,554348,10,125,5,11418,64240,7,8,32,65794.72727272726,89845.7140893108,336480.0,36320.0,1.0179000909090908E7,74143.3696448369,1.0207206E7,9956193.0,NeedManualLabel
192.168.254.200-50.17.218.8-51567-443-6,192.168.254.200,51567,50.17.218.8,443,6,13/12/2021 09:24:07 PM,60590523,8,7,1037.0,3833.0,723.0,0.0,129.625,250.57872301648322,3298.0,0.0,547.5714285714286,1218.393731810159,80.37560593428118,0.24756346797006523,4327894.5,1.6022730746312166E7,5.9996717E7,2.0,593799.0,84828.42857142857,77451.98683454833,151659.0,1301.0,6.0445642E7,1.0074273666666666E7,2.445701239640106E7,5.9996719E7,7.0,0,0,0,0,172,152,0.1320338495840348,0.11552961838603044,0.0,3298.0,304.37499999999994,820.4626235646975,673158.9166666666,1,2,0,7,14,0,0,0,0.0,324.6666666666667,129.625,547.5714285714286,0,0,0,4839,6,10814,8,1037,7,3833,65535,115,3,20,593799.0,0.0,593799.0,593799.0,5.9996717E7,0.0,5.9996717E7,5.9996717E7,NeedManualLabel
192.168.254.93-34.117.237.239-33612-443-6,192.168.254.93,33612,34.117.237.239,443,6,13/12/2021 09:23:19 PM,112334860,13,3,282.0,78.0,39.0,0.0,21.692307692307697,18.620708075440344,39.0,0.0,26.0,22.516660498395403,3.204704220933733,0.14243129870816593,7488990.666666667,1.9753050534961462E7,5.8110346E7,17.0,1.1230897E8,9359080.833333334,2.1852251101911962E7,5.8110346E7,101.0,1.12307641E8,5.61538205E7,2863319.30886384,5.8178493E7,5.4129148E7,1,0,0,0,416,96,0.11572543020038481,0.02670586850778111,0.0,39.0,23.470588235294116,18.5003974520104,342.2647058823529,2,0,0,10,16,0,0,0,0.0,24.9375,21.692307692307693,26.0,0,0,0,126,4,121856,6,141,1,39,501,269,7,32,47752.5,30742.881525647528,69491.0,26014.0,5.61061465E7,2834366.114601376,5.8110346E7,5.4101947E7,NeedManualLabel
