Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,Packet Length Variance,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Fwd Act Data Pkts,Active Mean,Active Std,Idle Mean,Idle Std,Label
297918,6826,38308,930784,49851405,136.358628772,314.624519297,1301.33144513,197.59334052,170456934.458475,151498.063225451,6.60089070082,159.062116722,297918,43.650989011,407.430534189,297909,7.77688150991,173.116811967,140332,787748,22912.3450077,128585.718218,1125.14392378,471.507008407,222318.858977,5,1125.16885275,136.358628772,1301.33144513,50782189,45134,170456934,6825,0,0,0,0,live
296342,5888,34143,620414,44907976,105.369225543,265.339660181,1315.29086489,153.35923137,153634618.110157,135083.788325651,7.40299775169,188.891796118,296338,50.3376932224,490.708272129,296340,8.67963212466,204.945153572,120524,694304,19868.9352167,115214.853109,1137.32888689,462.669507494,214063.073165,5,1137.35729809,105.369225543,1315.29086489,45528390,40031,153634618,5887,0,0,0,0,live
295150,7261,39969,987098,51966804,135.945186613,314.118752479,1300.17773775,200.703210255,179413525.326105,160020.328646451,6.24933833026,118.072213294,295150,40.6542699725,299.681757597,295143,7.38448258607,128.947086943,143378,790995,24601.0503134,135419.278333,1121.19184434,474.974129893,225600.424067,5,1121.21558332,135.945186613,1300.17773775,52953902,47230,179413525,7260,0,0,0,0,live
298719,7120,31414,1289642,39850554,181.129494382,366.179192988,1268.56032342,267.089324737,137722059.862279,128997.485931595,7.75229024473,99.3885328821,298719,41.9608091024,229.053931592,298716,9.50931143157,111.033219912,144884,639488,23835.1092498,105162.376682,1067.63625276,510.929030684,261048.474395,4,1067.6639591,181.129494382,1268.56032342,41140196,38534,137722059,7119,0,0,0,0,live
296290,6366,36862,663396,48390674,104.209236569,263.411229399,1312.75226521,161.663624954,165561004.421344,145897.600324007,6.85428088926,130.257934264,296290,46.5498821681,336.991434326,296278,8.03770923198,141.711401491,126588,737172,21485.7065713,124411.893753,1134.77596058,464.671043295,215919.178476,5,1134.80221153,104.209236569,1312.75226521,49054070,43228,165561004,6365,0,0,0,0,live
297834,8860,44045,1100168,57289853,124.172460497,297.114252705,1300.71184016,198.29518421,196048876.219639,177632.506698362,5.62970663844,102.934831662,297834,33.6193701321,249.998841839,297832,6.76214694397,113.425251205,174824,868396,29748.1147216,147884.391977,1103.67691755,490.422156427,240513.891514,4,1103.69777904,124.172460497,1300.71184016,58390021,52905,196048876,8859,0,0,0,0,live
298355,7598,34025,1347598,43250838,177.362200579,361.999490062,1271.14880235,261.241180583,149481108.07595,139508.3038662,7.16820431503,89.2479608462,298355,39.2727392392,206.849076384,298351,8.76883964261,99.55999942,155420,695896,25466.3069163,114041.99695,1071.48635403,508.16238771,258229.012283,4,1071.51209668,177.362200579,1271.14880235,44598436,41623,149481108,7597,0,0,0,0,live
297177,6524,34707,893708,45017773,136.987737584,315.962123717,1297.08050249,208.588800387,154492040.097316,138742.23106095,7.20778559301,150.941641371,297177,45.5583320558,378.027418727,297151,8.56194894255,165.274821212,130268,690884,21953.2467183,116788.984343,1113.51988747,481.322986531,231671.817363,5,1113.54689433,136.987737584,1297.08050249,45911481,41231,154492040,6523,0,0,0,0,live
297969,5814,33587,607520,44070166,104.492604059,263.186165503,1312.11974871,161.833135501,149940718.665365,132231.876470371,7.56266497462,162.375758766,297969,51.2590744882,420.427369135,297962,8.87161317216,176.538636735,116292,673976,19512.096896,112719.779574,1133.92325263,464.74233619,215985.439048,5,1133.95203167,104.492604059,1312.11974871,44677686,39401,149940718,5813,0,0,0,0,live
296120,7668,38997,1027552,50582891,134.005216484,311.577166591,1297.09698182,208.327578756,174288947.048494,157588.139943266,6.34579118807,133.087596995,296108,38.6211034303,327.5344423,296119,7.59357369987,146.796575776,146292,746124,25894.9074699,131693.232473,1105.97769254,487.832817481,237980.857812,5,1106.00139291,134.005216484,1297.09698182,51610443,46665,174288947,7667,0,0,0,0,live
288581,6732,36177,664286,47452114,98.6758764112,253.328617249,1311.66525693,162.813448268,166734469.698282,148689.622670931,6.72557565023,146.993884341,288581,42.8734214827,369.345743015,288560,7.97655904467,160.691662587,115276,633420,23327.9391228,125361.683548,1121.35970636,476.485671154,227038.594815,5,1121.3858398,98.6758764112,1311.66525693,48116400,42909,166734469,6731,0,0,0,0,live
298411,7630,31593,1339510,40084070,175.558322412,360.127264747,1268.76428323,263.787466007,138813850.695852,131439.524682401,7.60825557085,113.80663861,298411,39.1153493249,256.192913498,298404,9.44555583692,127.577515349,120644,506220,25568.7625456,105870.762137,1056.10723027,518.197500665,268528.649695,4,1056.13415598,175.558322412,1268.76428323,41423580,39223,138813850,7629,0,0,0,0,live
292306,7930,37703,1050878,48748000,132.519293821,309.612283946,1292.94751081,218.249463979,170365568.958557,156113.798553571,6.4057240533,139.851282117,292302,36.8649262202,334.085408743,292304,7.75301045037,154.530188174,123252,592112,27129.1044317,128984.694122,1091.29293947,499.352848918,249353.267723,4,1091.31685403,132.519293821,1292.94751081,49798878,45633,170365568,7929,0,0,0,0,live
295128,6752,33657,674200,44076911,99.8518957346,255.758472724,1309.59119945,169.333390836,151632888.102789,136920.251551869,7.30370223718,152.15600895,295128,43.716190194,370.611305262,295118,8.76865937723,167.457572155,92428,462168,22878.2087772,114042.042775,1107.45530809,488.348298628,238484.060773,4,1107.48271425,99.8518957346,1309.59119945,44751111,40409,151632888,6751,0,0,0,0,live
298520,8398,33964,1525500,42899559,181.650392951,366.548754556,1263.08912378,274.968084714,148817697.306713,141906.739916923,7.04704799226,82.3709299159,298520,35.5507919495,182.662603392,298518,8.78950622737,92.7973534477,131144,536622,28132.118451,113774.621466,1048.70228737,522.623260942,273135.072878,4,1048.7270431,181.650392951,1263.08912378,44425059,42362,148817697,8397,0,0,0,0,live
298360,9996,47840,1259782,62017680,126.028611445,299.926041545,1296.35618729,208.892053006,212084267.32806,193846.36010189,5.15881386704,79.6505769712,298360,29.8509254627,190.041340804,298355,6.23664792324,88.1681986522,155034,744346,33503.1505564,160343.209546,1094.0846344,497.443070291,247449.60818,4,1094.10355142,126.028611445,1296.35618729,63277462,57836,212084267,9995,0,0,0,0,live
297271,8428,41707,799096,54653491,94.8144280968,246.689140803,1310.41530199,166.049285781,186538838.29906,168650.827023154,5.92952886265,128.078955408,297271,35.2760175626,310.977492289,297264,7.12760753848,140.93923751,109838,549260,28351.2350683,140299.591955,1106.06645923,489.708925756,239814.831965,4,1106.08852099,94.8144280968,1310.41530199,55452587,50135,186538838,8427,0,0,0,0,live
