Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,Packet Length Variance,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Fwd Act Data Pkts,Active Mean,Active Std,Idle Mean,Idle Std,Label
295215,4560,13677,413584,17779295,90.698245614,237.002059156,1299.94114206,203.443191876,61625862.5069864,61775.3162949037,16.1885830226,259.883376268,295215,64.7543320904,517.103408658,295156,21.5820415326,302.667766034,63208,192852,15446.369595,46328.9466999,997.585426034,565.053447373,319285.398388,2,997.640127214,90.698245614,1299.94114206,18192879,18237,61625862,4559,0,0,0,0,live
290993,1698,19283,315198,24320745,185.628975265,371.300097068,1261.25317637,248.225807165,84661634.4723069,72101.3907551041,13.8700190658,247.215962742,290953,171.451384797,861.477195791,290954,15.0894098123,260.000352066,25872,291520,5835.19191183,66266.1988433,1174.20117243,392.215904515,153833.315755,11,1174.25713741,185.628975265,1261.25317637,24635943,20981,84661634,1697,0,0,0,0,live
293566,7418,23357,550954,30708771,74.2725802103,195.964263485,1314.75664683,160.930741026,106482784.109876,104831.622190581,9.53941639046,147.112940706,293378,39.5548065255,311.247957838,293406,12.5623394417,176.603715379,100444,320736,25268.5937745,79563.0284161,1015.75458149,557.152138051,310418.504934,3,1015.78758733,74.2725802103,1314.75664683,31259725,30775,106482784,7417,0,0,0,0,live
297271,8428,41707,799096,54653491,94.8144280968,246.689140803,1310.41530199,166.049285781,186538838.29906,168650.827023154,5.92952886265,128.078955408,297271,35.2760175626,310.977492289,297264,7.12760753848,140.93923751,109838,549260,28351.2350683,140299.591955,1106.06645923,489.708925756,239814.831965,4,1106.08852099,94.8144280968,1310.41530199,55452587,50135,186538838,8427,0,0,0,0,live
298890,39036,66675,3199742.0,58215567.0,1337.0,29.0,81.9690029716,211.354721024,1337.0,28.0,873.124364454,473.347136091,2.054779651376761E8,353678.61086018267,2.82745246429,11.6771897264,1696.0,0.0,298883.0,7.65679518381,25.0148447422,2478.0,0.0,298889.0,4.48284188739,15.7914556932,2146.0,0.0,0,0,0,0,1083646,1834928,130603.231958,223075.378902,28.0,1337.0,580.976994097,550.997634499,303598.393224,0,0,0,0,0,0,0,0,1.0,580.982489996,81.9690029716,873.124364454,0,0,0,61415309,105711,205477965,0,0,0,0,0,0,39035,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
298564,3222,14949,478932.0,19268471.0,1337.0,29.0,148.644320298,319.236530248,1337.0,28.0,1288.94715366,223.877164753,6.614127289291409E7,60861.322865449285,16.4317006054,199.318028732,4931.0,0.0,298555.0,92.6901583359,468.18797944,4936.0,0.0,298562.0,19.9733743645,220.812982284,4932.0,0.0,0,0,0,0,75224,355312,10791.6560603,50069.6668051,28.0,1337.0,1086.75,498.974684089,248975.735361,0,0,0,0,0,0,0,0,4.0,1086.80980684,148.644320298,1288.94715366,0,0,0,19747403,18171,66141272,0,0,0,0,0,0,3221,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
382496,11706,44551,1058292,52464263,90.4059456689,239.861759087,1177.62256739,355.37566164,139929711683,147078.66226052,6.7992036405,139.08451399,382496,32.6780008543,304.665584764,382486,8.58554433221,156.967462531,203852,720644,30604.241613,116474.420648,951.400547478,553.863039311,306764.266315,3,951.417459161,90.4059456689,1177.62256739,53522555,56257,139929711,11705,0,0,0,0,live
296878,5994,22462,463928,29553118,77.3987320654,208.037601784,1315.69397204,157.450087617,101109027.950875,95850.8208759154,10.4332454753,180.132225646,296722,49.5114300017,405.376455498,296712,13.2100975023,210.762549239,73026,286328,20190.1117631,75660.7091128,1054.86115894,532.577988961,283639.314325,3,1054.89822884,77.3987320654,1315.69397204,30017046,28456,101109027,5993,0,0,0,0,live
71288,390,8887,43546,11827330,111.656410256,285.168042098,1330.8574322,84.9737354443,166519975.311413,130134.103916508,7.68520914187,384.378070119,71288,183.259640103,1871.75953714,71092,8.0004501463,393.52880651,10264,212080,5470.76646841,124663.337448,1279.60907523,264.932151824,70189.0450702,22,1279.74700873,111.656410256,1330.8574322,11870876,9277,166519975,389,0,0,0,0,live
294826,1440,20410,305814,25824757,212.370833333,396.514455818,1265.29921607,242.49762459,88630483.7429535,74111.5098397021,13.4937983432,246.630717086,294792,204.858929812,949.878206951,294788,14.4440197952,257.281703138,22120,306712,4884.23680408,69227.2730356,1195.90476408,365.419116308,133531.130564,14,1195.95949657,212.370833333,1265.29921607,26130571,21850,88630483,1439,0,0,0,0,live
288281,15528,20453,1081162.0,14999646.0,1337.0,29.0,69.6266099948,185.062340533,1337.0,28.0,733.371436953,474.154098159,5.578171298143131E7,124812.24915967406,8.01225680934,24.5440331035,1837.0,0.0,288214.0,18.5621176016,43.2740964048,2421.0,0.0,288275.0,14.0951985136,33.2797581644,1839.0,0.0,0,0,0,0,433968,571644,53864.1117521,70948.1374076,28.0,1337.0,446.949724862,500.667918357,250668.364472,0,0,0,0,0,0,0,0,1.0,446.962146689,69.6266099948,733.371436953,0,0,0,16080808,35981,55781712,0,0,0,0,0,0,15527,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
