Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
454508,3,2,36.0,24.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,132.01087769632218,11.000906474693513,113627.0,201963.89539222102,415639.0,1640.0,454508.0,227254.0,268735.9321899474,417279.0,37229.0,417503.0,417503.0,0.0,417503.0,417503.0,0,0,0,0,24,16,6.600543884816108,4.400362589877406,12.0,12.0,12.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,14.4,12.0,12.0,0,0,0,60,5,132,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,NeedManualLabel
775,1,1,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,30967.74193548387,2580.6451612903224,775.0,0.0,775.0,775.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1290.3225806451612,1290.3225806451612,12.0,12.0,12.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,18.0,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
1760,1,1,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,13636.363636363636,1136.3636363636363,1760.0,0.0,1760.0,1760.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,568.1818181818181,568.1818181818181,12.0,12.0,12.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,18.0,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
442874,2,2,24.0,24.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,108.38297122883709,9.031914269069759,147624.6666666667,252775.78407025727,439505.0,1668.0,441206.0,441206.0,0.0,441206.0,441206.0,441173.0,441173.0,0.0,441173.0,441173.0,0,0,0,0,16,16,4.5159571345348795,4.5159571345348795,12.0,12.0,12.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,15.0,12.0,12.0,0,0,0,48,4,108,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
51827,1,1,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,463.07909004958805,38.58992417079901,51827.0,0.0,51827.0,51827.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,19.294962085399504,19.294962085399504,12.0,12.0,12.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,18.0,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
286,1,1,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,83916.08391608391,6993.006993006993,286.0,0.0,286.0,286.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3496.5034965034965,3496.5034965034965,12.0,12.0,12.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,18.0,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
79885,1,1,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,300.43187081429556,25.03598923452463,79885.0,0.0,79885.0,79885.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,12.517994617262316,12.517994617262316,12.0,12.0,12.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,18.0,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
401955,2,2,24.0,24.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,119.41635257678098,9.951362714731749,133985.0,229166.7789209422,398604.0,1641.0,400245.0,400245.0,0.0,400245.0,400245.0,400314.0,400314.0,0.0,400314.0,400314.0,0,0,0,0,16,16,4.9756813573658745,4.9756813573658745,12.0,12.0,12.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,15.0,12.0,12.0,0,0,0,48,4,119,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
1742,1,1,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,13777.267508610792,1148.105625717566,1742.0,0.0,1742.0,1742.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,574.052812858783,574.052812858783,12.0,12.0,12.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,18.0,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
1780,1,1,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,0.0,13483.146067415732,1123.5955056179776,1780.0,0.0,1780.0,1780.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,561.7977528089888,561.7977528089888,12.0,12.0,12.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,18.0,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
