Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,64,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0,0,0,0,0,0,0,0,https
8352,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.9272030651341,2784.0,4502.428122691133,7981.0,62.0,309.0,309.0,0.0,309.0,309.0,62.0,62.0,0.0,62.0,62.0,0,0,0,0,64,64,239.46360153256705,239.46360153256705,0.0,0.0,0.0,0.0,0.0,1,0,0,2,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,358,0,32,0,0,0,0,0,0,0,0,https
9936,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.28824476650564,9936.0,0.0,9936.0,9936.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32,100.64412238325282,100.64412238325282,0.0,0.0,0.0,0.0,0.0,1,1,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,2052,0,40,0,0,0,0,0,0,0,0,https
8153,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.6169508156506,2717.666666666667,4530.046614918364,7948.0,39.0,166.0,166.0,0.0,166.0,166.0,39.0,39.0,0.0,39.0,39.0,0,0,0,0,64,64,245.3084754078253,245.3084754078253,0.0,0.0,0.0,0.0,0.0,1,0,0,2,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,358,0,32,0,0,0,0,0,0,0,0,https
114907,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,52.21614000887675,22981.4,37974.50071824513,90341.0,50.0,114907.0,22981.4,37974.50071824513,90341.0,50.0,0,0,0,0,0,0,0,0,0,180,0,52.21614000887675,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2,5,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,319,0,0,20,0,0,0,0,0,0,0,0,https
18,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,111111.11111111111,18.0,0.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,0,0,0,0,0,0,0,0,0,40,0,111111.11111111111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,https
7885,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.1154090044388,1971.25,3899.170456648439,7820.0,14.0,65.0,21.666666666666668,6.658328118479393,26.0,14.0,0,0,0,0,0,0,0,0,0,128,20,507.29232720355105,126.82308180088776,0.0,0.0,0.0,0.0,0.0,1,0,1,1,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,0,0,32,0,0,0,0,0,0,0,0,https
36,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,55555.555555555555,36.0,0.0,36.0,36.0,36.0,36.0,0.0,36.0,36.0,0,0,0,0,0,0,0,0,0,40,0,55555.555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,https
8017,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.93975302482227,2672.3333333333335,4459.076174874493,7820.0,1.0,197.0,98.5,137.88582233137677,196.0,1.0,0,0,0,0,0,0,0,0,0,96,20,374.2048147686167,124.73493825620557,0.0,0.0,0.0,0.0,0.0,1,0,1,1,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,0,0,32,0,0,0,0,0,0,0,0,https
108526,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.28629084274736,21705.199999999997,39437.4020975013,91879.0,45.0,100525.0,33508.33333333333,57848.51220501123,100306.0,45.0,100054.0,100054.0,0.0,100054.0,100054.0,0,0,0,0,128,64,36.85752722849824,18.42876361424912,0.0,0.0,0.0,0.0,0.0,1,0,0,3,6,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,505,358,0,32,0,0,0,0,0,0,0,0,https
113918,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.44770800049158,18986.333333333336,36060.94222100508,91767.0,39.0,100919.0,33639.66666666667,57869.00225797342,100461.0,170.0,105054.0,52527.0,74229.24146183902,105015.0,39.0,0,0,0,0,128,96,35.1129760002809,26.334732000210675,0.0,0.0,0.0,0.0,0.0,1,0,0,4,7,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,505,358,0,32,0,0,0,0,0,0,0,0,https
