Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,Packet Length Variance,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Fwd Act Data Pkts,Active Mean,Active Std,Idle Mean,Idle Std,Label
284,1,1,36,509,36,0,509,0,1919014.08451,7042.25352113,284,0,0,0,0,0,0,0,8,8,3521.12676056,3521.12676056,193.666666667,273.086677327,74576.3333333,1,290.5,36,509,0,0,0,0,0,0,0,0,dns
272,2,2,92,599,46,0,299.5,177.483802078,2540441.17647,14705.8823529,0.0906666666667,108.518815573,42,42,0,15,15,0,16,16,7352.94117647,7352.94117647,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,2540441,1,0,0,0,0,dns
182345,2,2,92,599,46,0,299.5,177.483802078,3789.51986619,21.9364391675,60.7816666667,105034.500205,35,35,0,182065,182065,0,16,16,10.9682195838,10.9682195838,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,3789,1,0,0,0,0,dns
516,1,1,33,304,33,0,304,0,653100.775194,3875.96899225,516,0,0,0,0,0,0,0,8,8,1937.98449612,1937.98449612,123.333333333,156.46192295,24480.3333333,1,185,33,304,0,0,0,0,0,0,0,0,dns
29508,2,1,80,290,40,0,290,0,12538.972482,101.667344449,14754,14507.0027228,25012,25012,0,0,0,0,16,8,67.7782296326,33.8891148163,102.5,125,15625,0,136.666666667,40,290,0,0,0,1,0,0,0,0,dns
71628,2,1,64,303,32,0,303,0,5123.69464455,41.8830624895,35814,18089.2056763,23023,23023,0,0,0,0,16,8,27.9220416597,13.9610208298,99.75,135.5,18360.25,0,133,32,303,0,0,0,1,0,0,0,0,dns
29470,2,2,68,728,34,0,364,0,27010.519172,135.731252121,9.82333333333,13741.4483346,29243,29243,0,3905,3905,0,16,16,67.8656260604,67.8656260604,166,180.748443977,32670,1,207.5,34,364,796,4,27010,1,0,0,0,0,dns
162747,1,1,52,298,52,0,298,0,2150.57727639,12.2890130079,162747,0,0,0,0,0,0,0,8,8,6.14450650396,6.14450650396,134,142.028166221,20172,1,201,52,298,0,0,0,0,0,0,0,0,dns
345,1,1,29,401,29,0,401,0,1246376.81159,5797.10144928,345,0,0,0,0,0,0,0,8,8,2898.55072464,2898.55072464,153,214.774300139,46128,1,229.5,29,401,0,0,0,0,0,0,0,0,dns
346,2,2,92,599,46,0,299.5,177.483802078,1997109.82659,11560.6936416,0.115333333333,136.503968196,52,52,0,22,22,0,16,16,5780.34682081,5780.34682081,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,1997109,1,0,0,0,0,dns
198,2,2,92,599,46,0,299.5,177.483802078,3489898.9899,20202.020202,66,50.2095608425,51,51,0,25,25,0,16,16,10101.010101,10101.010101,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,3489898,1,0,0,0,0,dns
323,1,1,36,509,36,0,509,0,1687306.50155,6191.9504644,323,0,0,0,0,0,0,0,8,8,3095.9752322,3095.9752322,193.666666667,273.086677327,74576.3333333,1,290.5,36,509,0,0,0,0,0,0,0,0,dns
