Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
297300,7013,2410,9158314.0,207832.0,1337.0,29.0,1305.90531869,187.860389203,1038.0,32.0,86.2373443983,223.554808221,3.150402287251934E7,31695.257315842584,31.5538102314,377.034909557,6112.0,0.0,297280.0,42.3958927553,438.264408514,6140.0,0.0,297298.0,123.411374014,738.455021981,6112.0,0.0,0,0,0,0,114436,37640,23588.967373,8106.28994282,29.0,1337.0,993.883170628,567.679217312,322259.693767,0,0,0,0,0,0,0,0,0.0,993.988644805,1305.90531869,86.2373443983,0,0,0,9366146,9423,31504022,0,0,0,0,0,0,7012,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
298407,39006,24206,33350695.0,1695170.0,1337.0,28.0,855.014484951,492.493103102,1337.0,29.0,70.0309840535,182.369174005,1.1744317324995728E8,211831.49188859513,4.7208080872,13.0502568777,101.0,0.0,298396.0,7.65019869248,17.9993357474,102.0,0.0,298405.0,12.3282379674,20.4658612573,254.0,0.0,0,0,0,0,621868,400710,130714.091828,81117.400061,28.0,1337.0,554.410453546,554.985695318,308009.122008,0,0,0,0,0,0,0,0,0.0,554.419224198,855.014484951,70.0309840535,0,0,0,35045865,63212,117443173,0,0,0,0,0,0,39005,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
298410,11838,6550,6675372.0,1656414.0,1337.0,29.0,563.893563102,603.329427201,1337.0,29.0,252.887633588,443.715646321,2.792059917563084E7,61619.918903522,16.2294012074,67.0264516323,1848.0,0.0,298410.0,25.2099349497,87.7852292691,1879.0,0.0,298367.0,45.5591693388,113.542523985,1875.0,0.0,0,0,0,0,200662,110149,39670.2523374,21949.6665661,29.0,1337.0,453.087117298,571.520713971,326635.926498,0,0,0,0,0,0,0,0,0.0,453.111757668,563.893563102,252.887633588,0,0,0,8331786,18388,27920599,0,0,0,0,0,0,11837,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
298429,63775,27104,69536459.0,2326480.0,1337.0,28.0,1090.34039984,440.218215717,1337.0,29.0,85.8353010626,222.547607782,2.408041410184667E8,304524.6943159009,3.28384207399,11.1852482307,305.0,0.0,298429.0,4.67947753003,14.2500860438,306.0,0.0,298425.0,11.0107737151,21.3487880111,307.0,0.0,0,0,0,0,836208,410150,213702.421682,90822.2726344,28.0,1337.0,790.759991197,601.623417884,361950.736946,0,0,0,0,0,0,0,0,0.0,790.768692437,1090.34039984,85.8353010626,0,0,0,71862939,90879,240804141,0,0,0,0,0,0,63774,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
295126,8462,2732,11077774.0,224400.0,1337.0,29.0,1309.12006618,178.065413088,1038.0,32.0,82.1376281113,213.704560205,3.829609726015329E7,37929.56228864959,26.3670150987,341.2149691,6417.0,0.0,295104.0,34.8781467912,393.986457593,6445.0,0.0,295123.0,108.064079092,685.159957738,6417.0,0.0,0,0,0,0,131320,41236,28672.4992037,9257.06308492,29.0,1337.0,1009.58999553,559.394573865,312922.289269,0,0,0,0,0,0,0,0,0.0,1009.68018581,1309.12006618,82.1376281113,0,0,0,11302174,11194,38296097,0,0,0,0,0,0,8461,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
298975,40719,24410,35446769.0,1704718.0,1337.0,28.0,870.521599253,486.588566749,1337.0,29.0,69.8368701352,181.671165813,1.2426285475374195E8,217840.95660172254,4.59057548213,12.8650152327,281.0,0.0,298973.0,7.34252664669,17.7654251108,281.0,0.0,298972.0,12.2484329551,20.3069544368,290.0,0.0,0,0,0,0,697392,426000,136195.334058,81645.6225437,28.0,1337.0,570.431460157,557.331936366,310618.887293,0,0,0,0,0,0,0,0,0.0,570.440218643,870.521599253,69.8368701352,0,0,0,37151487,65129,124262854,0,0,0,0,0,0,40718,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
298711,10624,6395,6114528.0,1661908.0,1337.0,29.0,575.539156627,599.995395171,1337.0,28.0,259.876153245,450.187850117,2.6033309787721243E7,56974.80173143942,17.5526501352,72.5112110756,1589.0,0.0,298681.0,28.1164454486,96.0834632538,1620.0,0.0,298686.0,46.7134813888,119.678855626,1614.0,0.0,0,0,0,0,187562,113318,35566.1492212,21408.6525103,28.0,1337.0,456.978437133,569.441423209,324263.534467,0,0,0,0,0,0,0,0,0.0,457.005288207,575.539156627,259.876153245,0,0,0,7776436,17019,26033309,0,0,0,0,0,0,10623,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
299070,64529,26756,71169089.0,2315632.0,1337.0,28.0,1102.90085078,421.106329766,1337.0,29.0,86.5462699955,223.841811127,2.4571077339753234E8,305229.5449225934,3.27625870908,11.2882114895,294.0,0.0,299070.0,4.63473220927,14.2453634605,301.0,0.0,299066.0,11.1779480471,21.662934155,316.0,0.0,0,0,0,0,927542,433716,215765.53984,89464.0050824,28.0,1337.0,805.006375567,595.033854676,354065.28821,0,0,0,0,0,0,0,0,0.0,805.015194172,1102.90085078,86.5462699955,0,0,0,73484721,91285,245710773,0,0,0,0,0,0,64528,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
295785,8449,2876,11051176.0,234850.0,1337.0,29.0,1307.98627056,182.33639616,1038.0,34.0,81.6585535466,209.728283593,3.815618100985513E7,38287.945636188444,26.120187213,336.932532859,6005.0,0.0,295762.0,35.0097064394,391.390167473,6005.0,0.0,295784.0,102.881391304,663.791346868,6005.0,0.0,0,0,0,0,142428,47624,28564.6669033,9723.27873286,29.0,1337.0,996.482959562,566.530672699,320957.003109,0,0,0,0,0,0,0,0,0.0,996.570949227,1307.98627056,81.6585535466,0,0,0,11286026,11325,38156181,0,0,0,0,0,0,8448,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
298968,39097,23754,33100928.0,1611944.0,1337.0,28.0,846.636007878,492.43502751,1054.0,29.0,67.8598972805,176.512950981,1.1610898825292338E8,210226.51253645873,4.756849642,13.345310615,297.0,0.0,298968.0,7.64702271332,18.3117836368,323.0,0.0,298965.0,12.5864101377,21.1537568447,602.0,0.0,0,0,0,0,683304,413938,130773.193118,79453.3194188,28.0,1337.0,552.316569083,552.460350306,305212.43866,0,0,0,0,0,0,0,0,0.0,552.325356796,846.636007878,67.8598972805,0,0,0,34712872,62851,116108988,0,0,0,0,0,0,39096,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
