Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
90985,312,14182,38218.0,18896517.0,1337.0,29.0,122.493589744,288.011376535,1337.0,29.0,1332.42962911,73.5639286273,2.0810831455734462E8,159300.98367862834,6.27785827641,361.170324142,29706.0,0.0,90985.0,292.556270096,2452.3970333,29706.0,0.0,90951.0,6.41358155278,365.648675029,29734.0,0.0,0,0,0,0,4356,184592,3429.13667088,155871.847008,29.0,1337.0,1306.3864781,194.703570949,37909.4805402,0,0,0,0,0,0,0,0,45.0,1306.47661101,122.493589744,1332.42962911,0,0,0,18934735,14494,208108314,0,0,0,0,0,0,311,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
45095,590,6064,42042.0,8074186.0,1337.0,31.0,71.2576271186,200.576981147,1337.0,29.0,1331.49505277,79.8176648115,1.7998066304468343E8,147555.16132608935,6.77814519766,308.67404888,18821.0,0.0,45095.0,76.5619694397,1036.28365383,18821.0,0.0,45057.0,7.43146956952,323.926458613,18846.0,0.0,0,0,0,0,6280,65948,13083.4904091,134471.670917,29.0,1337.0,1219.76934636,371.085985559,137704.808678,0,0,0,0,0,0,0,0,10.0,1219.95266005,71.2576271186,1331.49505277,0,0,0,8116228,6654,179980663,0,0,0,0,0,0,589,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
288080,570,22516,101584.0,29940518.0,1184.0,29.0,178.21754386,367.655826449,1337.0,28.0,1329.74409309,92.4758324634,1.0428388642043877E8,80137.46181616218,12.479098982,399.020272897,20841.0,0.0,288080.0,506.291739895,2494.18582343,20841.0,0.0,288077.0,12.794892294,404.423105623,20869.0,0.0,0,0,0,0,8340,304052,1978.61705082,78158.8447653,28.0,1337.0,1301.30359077,208.818049263,43604.9776978,0,0,0,0,0,0,0,0,39.0,1301.35995842,178.21754386,1329.74409309,0,0,0,30042102,23086,104283886,0,0,0,0,0,0,569,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
80901,334,7097,39596.0,9447621.0,1337.0,29.0,118.550898204,287.574294538,1337.0,29.0,1331.21332958,82.620452039,1.1726946514876206E8,91853.00552527163,10.8884253028,430.270238251,25397.0,0.0,80901.0,242.945945946,2022.23306802,25397.0,0.0,80872.0,11.396843292,441.18706847,25444.0,0.0,0,0,0,0,4328,91300,4128.50273791,87724.5027874,29.0,1337.0,1276.71609257,270.833125275,73350.5817461,0,0,0,0,0,0,0,0,21.0,1276.88790203,118.550898204,1331.21332958,0,0,0,9487217,7431,117269465,0,0,0,0,0,0,333,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
42264,184,5878,33784.0,7810947.0,1337.0,29.0,183.608695652,362.232300447,1337.0,29.0,1328.84433481,99.050380141,1.8561260174143478E8,143431.76225629376,6.97310674806,278.541372405,16562.0,0.0,42264.0,230.950819672,1591.77594259,16562.0,0.0,42233.0,7.18614939595,283.829556026,16590.0,0.0,0,0,0,0,3992,109412,4353.5869771,139078.175279,29.0,1337.0,1294.09005443,228.198395897,52074.5078902,0,0,0,0,0,0,0,0,31.0,1294.30353019,183.608695652,1328.84433481,0,0,0,7844731,6062,185612601,0,0,0,0,0,0,183,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
73225,134,7338,17656.0,9780965.0,1114.0,33.0,131.76119403,297.81066244,1337.0,29.0,1332.9197329,67.9307483985,1.3381524069648345E8,102041.65244110618,9.80123142819,388.668542059,20420.0,0.0,73225.0,550.563909774,2873.34739948,20426.0,0.0,73193.0,9.97587569851,392.890432046,20445.0,0.0,0,0,0,0,2104,87168,1829.97610106,100211.67634,29.0,1337.0,1311.34229894,177.566977893,31530.031638,0,0,0,0,0,0,0,0,54.0,1311.51779979,131.76119403,1332.9197329,0,0,0,9798621,7472,133815240,0,0,0,0,0,0,133,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
75102,520,8580,42762.0,11423748.0,1337.0,31.0,82.2346153846,219.274708171,1337.0,28.0,1331.43916084,80.9552158197,1.5267915634736758E8,121168.54411333919,8.25387405209,423.611823594,28464.0,0.0,75102.0,144.705202312,1770.50368458,28464.0,0.0,75072.0,8.75067024129,436.763992595,28489.0,0.0,0,0,0,0,6200,93288,6923.91680648,114244.627307,28.0,1337.0,1260.06449841,304.955680286,92997.9669384,0,0,0,0,0,0,0,0,16.0,1260.20296703,82.2346153846,1331.43916084,0,0,0,11466510,9100,152679156,0,0,0,0,0,0,519,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
125673,352,16089,45896.0,21431786.0,1337.0,29.0,130.386363636,303.112248982,1337.0,28.0,1332.07694698,76.0156437302,1.7090132327548477E8,130823.64549266748,7.64434306569,346.727362037,19091.0,0.0,125673.0,358.042735043,2349.69807809,19091.0,0.0,125634.0,7.80917454003,351.282736054,19116.0,0.0,0,0,0,0,5132,212328,2800.91984754,128022.725645,28.0,1337.0,1306.35074808,194.604974696,37871.0961764,0,0,0,0,0,0,0,0,45.0,1306.43020498,130.386363636,1332.07694698,0,0,0,21477682,16441,170901323,0,0,0,0,0,0,351,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
167724,304,7591,33818.0,9979504.0,1139.0,33.0,111.243421053,277.505650564,1337.0,29.0,1314.6494533,162.499072743,5.970118766545038E7,47071.37917054208,21.2470230555,673.869435427,29864.0,0.0,167724.0,553.544554455,3402.59242185,29864.0,0.0,167720.0,22.0974967062,687.469921608,29869.0,0.0,0,0,0,0,4616,116780,1812.50149054,45258.87768,29.0,1337.0,1268.2871074,286.290012733,81961.9713904,0,0,0,0,0,0,0,0,24.0,1268.44775174,111.243421053,1314.6494533,0,0,0,10013322,7895,59701187,0,0,0,0,0,0,303,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
258349,418,15414,70514.0,20501637.0,1337.0,31.0,168.693779904,354.725403995,1337.0,29.0,1330.06597898,90.2210675882,7.962930377125517E7,61281.44486721451,16.3191838797,494.55770155,27517.0,0.0,258349.0,619.541966427,2989.13873446,27517.0,0.0,258331.0,16.7605917083,501.581751668,27555.0,0.0,0,0,0,0,7268,245268,1617.9663943,59663.4784729,29.0,1337.0,1299.40554538,214.264972253,45909.4783346,0,0,0,0,0,0,0,0,36.0,1299.48762001,168.693779904,1330.06597898,0,0,0,20572151,15832,79629303,0,0,0,0,0,0,417,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
134276,384,10703,46558.0,14241817.0,1337.0,29.0,121.244791667,296.099707069,1337.0,29.0,1330.63785854,86.7831876222,1.0641049033334325E8,82568.73901516279,12.1122136027,466.515928978,28914.0,-1.0,134276.0,350.590078329,2490.59782802,28921.0,0.0,134235.0,12.5429826201,475.568950739,28940.0,0.0,0,0,0,0,5544,142152,2859.78134588,79708.9576693,29.0,1337.0,1288.75468975,243.315940604,59202.6469519,0,0,0,0,0,0,0,0,27.0,1288.87092992,121.244791667,1330.63785854,0,0,0,14288375,11087,106410490,0,0,0,0,0,0,383,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
97984,344,8297,40930.0,11042488.0,1337.0,30.0,118.98255814,293.078293281,1337.0,28.0,1330.90128962,84.3162685561,1.1311456972566949E8,88187.86740692357,11.3407407407,435.15455007,28096.0,0.0,97984.0,285.667638484,2169.07766673,28096.0,0.0,69858.0,8.42068466731,320.498371674,17103.0,0.0,0,0,0,0,4960,99568,3510.77726976,84677.0901372,28.0,1337.0,1282.6608424,257.640563996,66378.6602163,0,0,0,0,0,0,0,0,24.0,1282.80928133,118.98255814,1330.90128962,0,0,0,11083418,8641,113114569,0,0,0,0,0,0,343,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
136221,890,21454,145894.0,28415567.0,1337.0,29.0,163.925842697,348.655920106,1337.0,28.0,1324.48806749,123.307073348,2.0967002885017726E8,164027.57284119187,6.09680884393,206.334356978,15115.0,0.0,136221.0,153.229471316,1024.14920479,15115.0,0.0,136214.0,6.34941500023,210.83257225,15125.0,0.0,0,0,0,0,14888,327296,6533.50070841,157494.072133,28.0,1337.0,1278.26350414,266.359911941,70947.6026892,0,0,0,0,0,0,0,0,24.0,1278.3207125,163.925842697,1324.48806749,0,0,0,28561461,22344,209670028,0,0,0,0,0,0,889,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
143904,168,8091,33916.0,10758016.0,1151.0,30.0,201.880952381,384.680702957,1337.0,29.0,1329.62748733,93.3264650499,7.499396820102291E7,57392.42828552368,17.4260111407,513.708598405,25573.0,0.0,143904.0,861.700598802,3520.62972447,25573.0,0.0,133604.0,16.5147095179,506.9656726,25576.0,0.0,0,0,0,0,2400,111516,1167.44496331,56224.9833222,29.0,1337.0,1306.66864407,192.018200266,36870.9892334,0,0,0,0,0,0,0,0,48.0,1306.82685555,201.880952381,1329.62748733,0,0,0,10791932,8259,74993968,0,0,0,0,0,0,167,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
17107,166,6757,21996.0,9006683.0,1337.0,31.0,132.506024096,311.089400519,1337.0,30.0,1332.94109812,67.7111028659,5.277768749634652E8,404688.13935815747,2.47139555042,149.229788141,12108.0,0.0,17107.0,103.678787879,964.26989307,12108.0,0.0,17044.0,2.52279455299,151.707475681,12153.0,0.0,0,0,0,0,3304,85796,9703.63009294,394984.509265,30.0,1337.0,1304.16175621,201.260501634,40505.789518,0,0,0,0,0,0,0,0,40.0,1304.35013722,132.506024096,1332.94109812,0,0,0,9028679,6923,527776874,0,0,0,0,0,0,165,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
57436,218,7305,38950.0,9710502.0,1337.0,30.0,178.669724771,370.403791499,1337.0,28.0,1329.29527721,95.1035897483,1.697446200988927E8,130980.56967755414,7.63573517681,266.158037713,15002.0,0.0,57436.0,264.68202765,1550.19724411,15002.0,0.0,52742.0,7.22097480832,265.346400945,15036.0,0.0,0,0,0,0,3728,87780,3795.52893656,127185.040741,28.0,1337.0,1295.95813397,223.589408417,49992.2235561,0,0,0,0,0,0,0,0,33.0,1296.13040011,178.669724771,1329.29527721,0,0,0,9749452,7523,169744620,0,0,0,0,0,0,217,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
128960,336,13177,52180.0,17518737.0,1337.0,29.0,155.297619048,342.905314106,1337.0,28.0,1329.49358731,94.6916190066,1.3625090725806454E8,104784.42928039703,9.5441089402,302.618559539,13787.0,0.0,128960.0,384.955223881,1888.03183357,13787.0,0.0,120361.0,9.1348664238,298.262555063,13822.0,0.0,0,0,0,0,4272,145592,2605.45905707,102178.970223,28.0,1337.0,1300.2999852,212.33883452,45087.7806453,0,0,0,0,0,0,0,0,39.0,1300.39621106,155.297619048,1329.49358731,0,0,0,17570917,13513,136250907,0,0,0,0,0,0,335,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
123910,210,6578,42452.0,8721611.0,1337.0,31.0,202.152380952,389.996682134,1337.0,29.0,1325.87579811,114.643490555,7.072926317488499E7,54781.69639254297,18.2569618388,630.849611648,29650.0,0.0,123910.0,592.870813397,3555.53665585,29650.0,0.0,123892.0,18.8371597993,641.082251551,29654.0,0.0,0,0,0,0,3640,109376,1694.77846824,53086.9179243,29.0,1337.0,1291.11798498,235.106586522,55275.1070262,0,0,0,0,0,0,0,0,31.0,1291.30819093,202.152380952,1325.87579811,0,0,0,8764063,6788,70729263,0,0,0,0,0,0,209,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
111180,448,11774,53504.0,15663715.0,1337.0,29.0,119.428571429,292.895831382,1337.0,28.0,1330.36478682,88.2119542324,1.4136732325957906E8,109929.84349703183,9.09745520007,334.518347464,19774.0,-1.0,111180.0,248.724832215,1734.14762611,19774.0,0.0,111138.0,9.4400747473,341.658259633,19803.0,0.0,0,0,0,0,8504,177808,4029.50170894,105900.341788,28.0,1337.0,1285.98183752,249.825967239,62413.0139067,0,0,0,0,0,0,0,0,26.0,1286.08705613,119.428571429,1330.36478682,0,0,0,15717219,12222,141367323,0,0,0,0,0,0,447,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
34687,224,5646,21182.0,7516643.0,1337.0,31.0,94.5625,247.320955984,1337.0,28.0,1331.32182076,79.2670009557,2.1730979906016663E8,169227.66454291233,5.910206168,270.687418513,17648.0,0.0,34659.0,155.421524664,1383.37851936,17648.0,0.0,34659.0,6.13976970771,276.845589884,17689.0,0.0,0,0,0,0,2416,60204,6457.75074235,162769.913801,28.0,1337.0,1284.13592233,253.984286203,64508.0176378,0,0,0,0,0,0,0,0,25.0,1284.35468484,94.5625,1331.32182076,0,0,0,7537825,5870,217309799,0,0,0,0,0,0,223,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
271696,598,18903,94382.0,25116902.0,1188.0,34.0,157.829431438,342.404642246,1337.0,29.0,1328.72570491,98.6576111598,9.279225310641305E7,71775.07213944997,13.9331282051,463.754889581,29408.0,0.0,271696.0,455.102177554,2614.53065737,29408.0,0.0,271693.0,14.3737699714,471.223022563,29428.0,0.0,0,0,0,0,8024,242268,2200.98934103,69574.0827984,29.0,1337.0,1292.81001949,231.901014144,53778.0803611,0,0,0,0,0,0,0,0,31.0,1292.87631404,157.829431438,1328.72570491,0,0,0,25211284,19501,92792253,0,0,0,0,0,0,597,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
271484,288,11487,46550.0,15274276.0,1152.0,32.0,161.631944444,344.709012194,1337.0,29.0,1329.70105336,92.3936566834,5.643362408097715E7,43372.72178102577,23.0579242399,730.759654061,29896.0,0.0,271484.0,945.93728223,4594.2057559,29896.0,0.0,271413.0,23.6298972662,740.293139746,29901.0,0.0,0,0,0,0,4680,186096,1060.8359977,42311.8857833,29.0,1337.0,1301.11175272,209.243156825,43782.698678,0,0,0,0,0,0,0,0,39.0,1301.22225053,161.631944444,1329.70105336,0,0,0,15320826,11775,56433624,0,0,0,0,0,0,287,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
85887,658,6331,43386.0,8434487.0,1337.0,31.0,65.9361702128,190.254205174,1337.0,28.0,1332.25193492,73.9568713863,9.870961845215224E7,81374.3639898937,12.290641099,502.007750063,24666.0,0.0,85887.0,130.726027397,1633.62768389,24666.0,0.0,85818.0,13.5573459716,528.180552568,24695.0,0.0,0,0,0,0,10560,78176,7661.22928965,73713.1347002,28.0,1337.0,1213.04864092,380.941673752,145116.558801,0,0,0,0,0,0,0,0,9.0,1213.22220632,65.9361702128,1332.25193492,0,0,0,8477873,6989,98709618,0,0,0,0,0,0,657,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
139815,604,17464,90946.0,23115587.0,1337.0,31.0,150.572847682,338.967008953,1337.0,28.0,1323.61354787,124.743326886,1.6598028108572042E8,129227.90830740622,7.73869485803,273.208752696,22212.0,0.0,139815.0,231.865671642,1479.31420097,22212.0,0.0,139802.0,8.00561186509,278.280440006,22222.0,0.0,0,0,0,0,10096,264648,4319.99427815,124907.914029,28.0,1337.0,1284.40256793,251.66719867,63336.3788865,0,0,0,0,0,0,0,0,28.0,1284.47365508,150.572847682,1323.61354787,0,0,0,23206533,18068,165980281,0,0,0,0,0,0,603,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
264511,582,20103,110728.0,26692791.0,1175.0,33.0,190.254295533,376.970582279,1337.0,28.0,1327.80137293,104.977580477,1.0133234156613524E8,78200.9065785544,12.788193773,443.07844311,29779.0,0.0,264511.0,455.268502582,2607.91501544,29779.0,0.0,264498.0,13.1577952443,450.437624873,29800.0,0.0,0,0,0,0,10668,341688,2200.28656653,76000.620012,28.0,1337.0,1295.78802088,223.800270243,50086.5609607,0,0,0,0,0,0,0,0,34.0,1295.85066473,190.254295533,1327.80137293,0,0,0,26803519,20685,101332341,0,0,0,0,0,0,581,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
43513,148,6965,19342.0,9290525.0,1337.0,31.0,130.689189189,306.517810324,1337.0,28.0,1333.88729361,56.6963258657,2.1395599016385907E8,163468.38875738284,6.11825084364,369.165985184,28797.0,0.0,43513.0,296.006802721,2559.66791643,28797.0,0.0,43448.0,6.23894313613,373.488643886,28823.0,0.0,0,0,0,0,1784,78400,3401.28237538,160067.106382,28.0,1337.0,1308.85633961,185.968094137,34584.132037,0,0,0,0,0,0,0,0,47.0,1309.04034866,130.689189189,1333.88729361,0,0,0,9309867,7113,213955990,0,0,0,0,0,0,147,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vod
